feature_set,n_features,train_seconds,val_MAE,val_RMSE,val_R2,val_MaxError,val_NRMSE,val_skill_vs_persistence,val_skill_vs_seasonal7,val_skill_vs_seasonal365,test_MAE,test_RMSE,test_R2,test_MaxError,test_NRMSE,test_skill_vs_persistence,test_skill_vs_seasonal7,test_skill_vs_seasonal365
A5_full,126,2.6914803981781006,1794.0653435501285,2409.845728063281,0.831989299971226,12836.10974119361,0.08985196053981781,0.15048486526156446,0.37187824809732695,0.3713861202259152,2035.0704292868625,2836.943048598891,0.7855208844554447,16829.878288109107,0.09647288918495178,0.13011626979091784,0.3079699962459008,0.3364201779970273
A4_add_physical,124,2.567265033721924,1804.8568950828676,2412.3086273167014,0.8316457054626999,11767.469118541521,0.0899437889456749,0.14961664777911254,0.3712362980439261,0.3707436672102903,1999.3026257131876,2817.1862266035596,0.788497800563408,16261.24793648483,0.09580104053020477,0.13617424759306784,0.31278937871688506,0.3410414298862682
A2_add_lags,83,2.0855023860931396,1953.5276847801126,2602.9528348086556,0.8039842101953996,13707.259170273723,0.09705203026533127,0.08241104298515411,0.3215452442949458,0.32101368095748317,2164.973502484652,2990.7812312254687,0.761629192192395,16451.815537698007,0.10170429944992065,0.08294530799882793,0.2704434628341099,0.3004364052896328
A3_add_rolling,115,2.4885196685791016,1958.6745165555626,2604.5939378208905,0.8037369652162024,14444.522734385351,0.0971132218837738,0.08183252385825601,0.3211174938845799,0.32058559540843057,2212.4431396140258,3025.0559561874284,0.7561343676717195,16950.56977297978,0.10286984592676163,0.07243574714721868,0.26208265416161636,0.29241931946879096
A1_time_weather,70,2.0475852489471436,2017.255958415699,2646.5296960555934,0.7973661471555467,13123.563343427606,0.09867680817842484,0.0670493944270858,0.31018701745490485,0.30964655504655214,2181.308475811417,3000.2264324513144,0.7601212146803512,16238.668462406735,0.10202548652887344,0.08004915297062887,0.2681394466702999,0.29822710998801416
A0_time_only,6,1.4952852725982666,2112.202814186879,2769.0168820219965,0.7781754208403437,15507.89998152167,0.10324378311634064,0.02387039874357111,0.27826096304449355,0.27769548685314094,2172.566847134919,3061.2443153868558,0.7502648009700882,16487.84303322023,0.10410046577453613,0.061339414104477075,0.2532550429182384,0.28395462188947374
