model_group,model,val_daylight_RMSE,test_daylight_RMSE,test_horizon_1_RMSE,test_horizon_12_RMSE,test_horizon_24_RMSE,test_daily_total_RMSE,test_R2,test_daily_total_R2,test_skill_vs_persistence_daylight
ensemble,Ensemble_HistGradientBoosting_w0.5_GRU_w0.5,227.17173260278224,252.68816472828718,82.5321906894516,177.40291689223997,186.8981277494507,2373.002317740124,0.9753427505493164,0.8480331897735596,0.25575863628627304
tabular_ml,XGBoost,231.51106884985003,255.97301340912873,74.57116004298344,181.41133982954318,189.22174078974118,2397.3956703055924,0.9747276306152344,0.8448927998542786,0.2460837856083573
deep_sequence,LSTM,233.3138142877528,256.9591711245193,106.4904952844971,179.06349803386786,189.76971035639485,2421.9196931360048,0.9743331074714661,0.8417032957077026,0.2431792595347746
naive_baseline,SeasonalPersistence_yesterday,309.2033614791405,339.52448365324113,228.91554801935146,227.75629450686978,227.7508061182221,3062.491469375874,0.9555426239967346,0.746894121170044,0.0
