hour,MAE,RMSE,daylight_RMSE,n,analysis_type,month
0.0,4.273192738612439,6.06115311072991,,4377.0,by_hour,
1.0,5.636971717787601,8.533330789049321,,4377.0,by_hour,
2.0,5.014609331995064,7.893970147274231,,4377.0,by_hour,
3.0,7.274181075759384,11.831651410861324,,4377.0,by_hour,
4.0,8.082349894025247,13.143952884761516,,4377.0,by_hour,
5.0,10.939091152411319,15.52309364809492,18.875702074128313,4377.0,by_hour,
6.0,30.845157786206293,45.92781737829933,55.0658978761345,4377.0,by_hour,
7.0,76.16460629263398,110.0865945488659,110.0865945488659,4377.0,by_hour,
8.0,130.90412219202025,196.1842370096,196.1842370096,4377.0,by_hour,
9.0,170.30610169725983,264.10787973463556,264.10787973463556,4377.0,by_hour,
10.0,194.52191941607944,317.9260739806332,317.9260739806332,4377.0,by_hour,
11.0,214.7966023288907,342.45707460588056,342.45707460588056,4377.0,by_hour,
12.0,194.53495483537884,316.81611891990815,316.81611891990815,4377.0,by_hour,
13.0,218.5328056086191,336.86193008023594,336.86193008023594,4377.0,by_hour,
14.0,219.77210433433555,325.09904016282434,325.09904016282434,4377.0,by_hour,
15.0,201.1332975949276,283.25256730475456,283.25256730475456,4377.0,by_hour,
16.0,146.79737051845495,203.4357101835992,203.4357101835992,4377.0,by_hour,
17.0,71.98136305840342,103.1950904941685,110.61294393255473,4377.0,by_hour,
18.0,19.39012876912519,32.45137160305102,43.61376760596485,4377.0,by_hour,
19.0,4.610233404363621,7.667482195578978,9.807482749671736,4377.0,by_hour,
20.0,4.243408374720812,7.499911816471551,,4377.0,by_hour,
21.0,2.919719684642976,5.736041558266574,,4377.0,by_hour,
22.0,2.966035161212066,5.391064234411255,,4377.0,by_hour,
23.0,3.9595759473030383,5.642443064088117,,4377.0,by_hour,
,56.392943463371694,135.93274762835077,200.63227380398692,8892.0,by_month,1.0
,93.01032823052013,221.3592834679737,326.82352331200485,8064.0,by_month,2.0
,89.96182611713913,190.441278057527,263.735638335158,8928.0,by_month,3.0
,87.93418360196542,163.40001140091337,220.69886713588468,8640.0,by_month,4.0
,112.26523492173537,223.30103086092544,292.20315546301345,8928.0,by_month,5.0
,102.55872001883631,227.49682424099802,291.5117245328877,8640.0,by_month,6.0
,73.52269691430358,143.85616532682036,184.72830835451322,8928.0,by_month,7.0
,74.1353296553358,150.97604818541524,203.7069259839413,8928.0,by_month,8.0
,111.30728504535287,258.27652154592096,357.2888330057793,8640.0,by_month,9.0
,71.88792593637166,156.15765560105086,220.61636240380523,8928.0,by_month,10.0
,51.476040972375145,117.87923459839392,178.00631018722848,8640.0,by_month,11.0
,52.18413696883072,138.02118330697746,212.7176399163627,8892.0,by_month,12.0
