model,daily_total_RMSE,daily_total_MAE,daily_total_R2
Ensemble_XGBoost_w0.7_TSMixer-lite_w0.3,2366.2486541156054,1598.2633150962938,0.8488969578010181
Ensemble_XGBoost_w0.5_TSMixer-lite_w0.5,2367.936401030637,1593.3939618970307,0.848681329877228
Ensemble_HistGradientBoosting_w0.5_TSMixer-lite_w0.5,2368.937887157437,1595.6113367290639,0.8485533065102006
Ensemble_HistGradientBoosting_w0.5_LSTM_w0.5,2369.522674907584,1590.4644459978222,0.8484785260755132
Ensemble_XGBoost_w0.5_LSTM_w0.5,2369.93610837474,1589.5356283851452,0.8484256466377833
Ensemble_HistGradientBoosting_w0.7_TSMixer-lite_w0.3,2370.3662115737156,1603.646505830884,0.848370625298001
Ensemble_XGBoost_w0.7_LSTM_w0.3,2371.362437689049,1600.7118160947873,0.8482431438264764
Ensemble_XGBoost_w0.7_GRU_w0.3,2371.6238327039973,1586.1567646603773,0.8482096857001403
Ensemble_XGBoost_w0.8_TSMixer-lite_w0.2,2372.173965957413,1607.6443815872913,0.8481392575121707
Ensemble_XGBoost_w0.5_GRU_w0.5,2372.912707693856,1573.524377408316,0.8480446579265932
Ensemble_HistGradientBoosting_w0.5_GRU_w0.5,2373.0022872347186,1576.1763896309599,0.8480331848145276
Ensemble_HistGradientBoosting_w0.7_LSTM_w0.3,2374.2856394694923,1604.9760010807288,0.8478687688849211
Ensemble_HistGradientBoosting_w0.7_GRU_w0.3,2374.968450636981,1591.5414662863973,0.8477812546965938
Ensemble_XGBoost_w0.8_GRU_w0.2,2376.5432624898385,1599.995749536066,0.8475793190788236
Ensemble_XGBoost_w0.8_LSTM_w0.2,2376.87643022567,1610.8399686053892,0.8475365803553175
Ensemble_HistGradientBoosting_w0.8_TSMixer-lite_w0.2,2378.4129935377105,1614.3149176596246,0.8473393926366364
Ensemble_HistGradientBoosting_w0.3_LSTM_w0.7,2379.5669468146634,1588.4260709864125,0.8471912216134796
Ensemble_XGBoost_w0.3_LSTM_w0.7,2381.3096216700887,1588.6043474845033,0.8469673207671288
Ensemble_HistGradientBoosting_w0.8_GRU_w0.2,2382.1907891510705,1606.3167340925309,0.8468540449726997
Ensemble_HistGradientBoosting_w0.8_LSTM_w0.2,2382.202865402454,1616.4434152172787,0.8468524922559757
Ensemble_CatBoost_w0.5_TSMixer-lite_w0.5,2384.004854385444,1597.300144417496,0.846620711409019
Ensemble_HistGradientBoosting_w0.3_TSMixer-lite_w0.7,2387.0424125752816,1607.0762470687544,0.8462296087453317
Ensemble_XGBoost_w0.3_TSMixer-lite_w0.7,2387.6007476797636,1606.8539712664654,0.8461576657853651
Ensemble_HistGradientBoosting_w0.3_GRU_w0.7,2387.67214363162,1581.0287983827136,0.846148465014156
Ensemble_CatBoost_w0.5_LSTM_w0.5,2388.5639071171972,1594.4527359452654,0.8460335205880611
Ensemble_XGBoost_w0.3_GRU_w0.7,2388.989723692314,1580.0793035181123,0.8459786195467508
