epoch,train_loss,val_loss,model
1,0.09292403723351485,0.013824286327386895,LSTM
2,0.026573246496534624,0.012162630950721601,LSTM
3,0.023001520959443824,0.011186822084710002,LSTM
4,0.02135597752017337,0.01095610468958815,LSTM
5,0.020217519253492355,0.010520324790074179,LSTM
6,0.0199296374393757,0.010605138474299261,LSTM
7,0.01898295671657421,0.010733154563543698,LSTM
8,0.01872195466963011,0.010368022446831068,LSTM
9,0.01845733081748666,0.010250303118179241,LSTM
10,0.018289161791895017,0.010382642387412488,LSTM
11,0.018163949478590905,0.010135639361881962,LSTM
12,0.017769566942872697,0.010269481417102119,LSTM
13,0.018000486415139464,0.010321265164141854,LSTM
14,0.01751503990529928,0.012313172065963348,LSTM
15,0.01766392749972468,0.01026611402630806,LSTM
1,0.0901522234212174,0.013479815058720609,GRU
2,0.027421868471212165,0.011869295500218868,GRU
3,0.02335390063046023,0.0116716338476787,GRU
4,0.02144677051191413,0.011095230661643049,GRU
5,0.0203134378764865,0.01127264512858043,GRU
6,0.019737123403438302,0.010627474053762853,GRU
7,0.019276883063274762,0.0111353819957003,GRU
8,0.0188679144132969,0.011268572105715672,GRU
9,0.018431100615321896,0.010290740698110312,GRU
10,0.01832092134281993,0.010203387898703417,GRU
11,0.017921219569046135,0.010831016232259572,GRU
12,0.01780730333222553,0.010507549275644124,GRU
13,0.017550126162119383,0.010611050257769724,GRU
14,0.01764263223510149,0.010574827746798595,GRU
1,0.04444686875700257,0.01556392495209972,TSMixer-lite
2,0.022851326069686304,0.012804387408929566,TSMixer-lite
3,0.02006130635218565,0.013030328244591752,TSMixer-lite
4,0.018904656659118658,0.012634180369786918,TSMixer-lite
5,0.017395407600371643,0.012798480068643888,TSMixer-lite
6,0.017193527653986632,0.012550045154057443,TSMixer-lite
7,0.0160623068791316,0.012584926172470054,TSMixer-lite
8,0.01565508314863194,0.011090195563156158,TSMixer-lite
9,0.015247162583089151,0.010791923656749228,TSMixer-lite
10,0.015196616079138463,0.01086308298787723,TSMixer-lite
11,0.014672981943328714,0.011255046275133887,TSMixer-lite
12,0.014261087121138738,0.011379378420921663,TSMixer-lite
13,0.01406677202646469,0.011284662410616875,TSMixer-lite
1,0.03889609147729569,0.0141498091397807,PatchTST-lite
2,0.018290674357220184,0.013315673568286002,PatchTST-lite
3,0.017522229921332625,0.013460290268994868,PatchTST-lite
4,0.01724531445219073,0.013467394669229785,PatchTST-lite
5,0.01692090556025505,0.013138276874087751,PatchTST-lite
6,0.016455275829621526,0.013192984042689204,PatchTST-lite
7,0.01612564052866642,0.012744318538655838,PatchTST-lite
8,0.015700234869105177,0.012304538628086448,PatchTST-lite
9,0.015461727511137724,0.012234302703291178,PatchTST-lite
10,0.014894250336341387,0.012046367977745831,PatchTST-lite
11,0.014689932014186715,0.011411746148951352,PatchTST-lite
12,0.014182989095705886,0.011688415116320053,PatchTST-lite
13,0.013921478037657432,0.011766281677410007,PatchTST-lite
14,0.013798034219287856,0.011364438687451184,PatchTST-lite
15,0.01356965311001553,0.011176584948164722,PatchTST-lite
1,0.04711265877149133,0.015345668808246652,iTransformer-mini
2,0.01841419525877681,0.013448256999254227,iTransformer-mini
3,0.016560127698751384,0.012501102212506035,iTransformer-mini
4,0.015899461791525748,0.012226719448032478,iTransformer-mini
5,0.015306360824683379,0.012066649195427695,iTransformer-mini
6,0.015068613025251516,0.011897964868694544,iTransformer-mini
7,0.01479931152967173,0.01155051488118867,iTransformer-mini
8,0.014588761858122294,0.011323340663996836,iTransformer-mini
9,0.014702157680551673,0.011602254157575468,iTransformer-mini
10,0.014364720159751732,0.011441257006178299,iTransformer-mini
11,0.014265669119912524,0.011865290231071413,iTransformer-mini
12,0.01411125340044152,0.011216318622852365,iTransformer-mini
13,0.013887685496186795,0.011139854517144462,iTransformer-mini
14,0.013834960098096798,0.011114543109821776,iTransformer-mini
15,0.014043522749615962,0.011294920385504762,iTransformer-mini
