epoch,train_loss,val_loss,target,model
1,0.02719695821279354,0.006804297609692987,target_1h,LSTM
2,0.009917981943477,0.004733440055347541,target_1h,LSTM
3,0.008525555174964578,0.009906130267635864,target_1h,LSTM
4,0.008371496793758402,0.004140324466040029,target_1h,LSTM
5,0.007214901484062534,0.005842374199453522,target_1h,LSTM
6,0.0073814601898054355,0.003427742186057217,target_1h,LSTM
7,0.006792671502387123,0.004689827383331516,target_1h,LSTM
8,0.006702899435924283,0.003764412516508909,target_1h,LSTM
9,0.006328393743415155,0.0026809726225431353,target_1h,LSTM
10,0.0061862831483525576,0.005503532079541508,target_1h,LSTM
11,0.006440919631077393,0.003121920402490479,target_1h,LSTM
12,0.006189241711703587,0.0036314427304793805,target_1h,LSTM
13,0.0060392154794214154,0.0029303250656298853,target_1h,LSTM
14,0.005987966103034455,0.0029237440766711883,target_1h,LSTM
15,0.006074520776659918,0.003213186344296178,target_1h,LSTM
1,0.03158093961094743,0.007304983213543892,target_1h,GRU
2,0.009879197970505304,0.004998963860356633,target_1h,GRU
3,0.008648949595335038,0.004418144351802766,target_1h,GRU
4,0.007464137338379871,0.0035444254891070373,target_1h,GRU
5,0.007011706489068803,0.0031365241362329792,target_1h,GRU
6,0.006732998116970507,0.0035996672094744794,target_1h,GRU
7,0.006340947188089477,0.0037780253983595792,target_1h,GRU
8,0.006320050153047291,0.0031732010264771387,target_1h,GRU
9,0.006031418978514623,0.003388904356945525,target_1h,GRU
10,0.006080789137075641,0.0032439030131653827,target_1h,GRU
11,0.005820359786235686,0.002879557624349699,target_1h,GRU
12,0.005671547684095689,0.002920400830643142,target_1h,GRU
13,0.005671705503308617,0.0029297478990081478,target_1h,GRU
14,0.005644880262995834,0.004833430270938312,target_1h,GRU
15,0.005629220311946945,0.0042140024015679955,target_1h,GRU
16,0.005547858696472623,0.0033690832993563485,target_1h,GRU
17,0.005754237763458557,0.0036782688351676743,target_1h,GRU
1,0.18650605613643775,0.01878573729054016,target_1h,TSMixer
2,0.023644065345401196,0.02137440349906683,target_1h,TSMixer
3,0.021533933322209476,0.007088002803571084,target_1h,TSMixer
4,0.019228940197169336,0.0062714299214456015,target_1h,TSMixer
5,0.019252398649035996,0.005297123687341809,target_1h,TSMixer
6,0.018802061218267947,0.006378203657839228,target_1h,TSMixer
7,0.01860383438613655,0.009572905543095925,target_1h,TSMixer
8,0.01828733441739607,0.005682136603247593,target_1h,TSMixer
9,0.018354098156177952,0.0066159464254537045,target_1h,TSMixer
10,0.017619319009914328,0.009449134991668603,target_1h,TSMixer
11,0.017966030659015055,0.0040797483285560324,target_1h,TSMixer
12,0.017603770662933144,0.009206965976559064,target_1h,TSMixer
13,0.017924112094038012,0.0040877128759508625,target_1h,TSMixer
14,0.01797521921958941,0.004909383612410987,target_1h,TSMixer
15,0.01781219798974248,0.00970449736889671,target_1h,TSMixer
16,0.0176799261330891,0.005868686191902003,target_1h,TSMixer
17,0.01791260595808723,0.009806243593201917,target_1h,TSMixer
1,0.0541337575805165,0.02449553498231313,target_1h,PatchTST
2,0.019519326423030735,0.03656287091400694,target_1h,PatchTST
3,0.01696899499910981,0.016487334033145624,target_1h,PatchTST
4,0.014519606796857803,0.01813437430845464,target_1h,PatchTST
5,0.013839123714993249,0.013863254995907055,target_1h,PatchTST
6,0.01327396061883044,0.015872484976973605,target_1h,PatchTST
7,0.013446816375284498,0.013067134409485495,target_1h,PatchTST
8,0.012883757237595186,0.014902620850240482,target_1h,PatchTST
9,0.012805732384101669,0.016464183928773683,target_1h,PatchTST
10,0.011537510894739362,0.014447166830958688,target_1h,PatchTST
11,0.011645213426299282,0.016966819215346787,target_1h,PatchTST
12,0.011249415364477839,0.011817195740364054,target_1h,PatchTST
13,0.01165973629329854,0.012647750828524722,target_1h,PatchTST
14,0.01156677427326343,0.013452085995060556,target_1h,PatchTST
15,0.01071028301228227,0.011048819910844459,target_1h,PatchTST
16,0.010837948047069472,0.016033981406294247,target_1h,PatchTST
17,0.010775947846027452,0.012312823125873418,target_1h,PatchTST
18,0.010669478117974836,0.010575032676570117,target_1h,PatchTST
19,0.01094491509095168,0.011170660960488021,target_1h,PatchTST
20,0.010317734157694365,0.013343381394139108,target_1h,PatchTST
21,0.009972581912680014,0.010530384846360367,target_1h,PatchTST
22,0.010484241209785217,0.011078257373917629,target_1h,PatchTST
23,0.00968867474680405,0.011377721394905272,target_1h,PatchTST
