epoch,train_loss,val_loss,target,model
2,0.01705332736679311,0.017302464063772383,target_24h,GRU
3,0.01611330064444511,0.016879519981825176,target_24h,GRU
4,0.01597305925896586,0.017995571183479008,target_24h,GRU
5,0.015601494280037596,0.018045505125294712,target_24h,GRU
6,0.01575116556374106,0.01931181497981443,target_24h,GRU
7,0.014847723954815917,0.016970989280654228,target_24h,GRU
8,0.014735527468650644,0.020382359034984428,target_24h,GRU
9,0.01533100580615895,0.017968074665130937,target_24h,GRU
1,0.18537544111596116,0.04207292193656459,target_24h,TSMixer
2,0.029339082149872138,0.024828190641368136,target_24h,TSMixer
3,0.02637380030033971,0.035109241027384996,target_24h,TSMixer
4,0.02469499576002804,0.03225850100245546,target_24h,TSMixer
5,0.02480397848134388,0.023674149066209793,target_24h,TSMixer
6,0.025825751868924544,0.019689533037736136,target_24h,TSMixer
7,0.024179053458093264,0.023526526275364792,target_24h,TSMixer
8,0.02322840346579454,0.021892875789062065,target_24h,TSMixer
9,0.022352260342840827,0.03047283338930677,target_24h,TSMixer
10,0.022263990277285452,0.02810877246563049,target_24h,TSMixer
11,0.02254747217799078,0.022653375478351816,target_24h,TSMixer
12,0.020878040377717854,0.036596441696233606,target_24h,TSMixer
1,0.05276102811765315,0.026296245482038048,target_24h,PatchTST
2,0.020356572538947883,0.02478291340829695,target_24h,PatchTST
3,0.018056281300178216,0.018888169872191024,target_24h,PatchTST
4,0.016906932764339137,0.02374776266515255,target_24h,PatchTST
5,0.016995017705207217,0.018887402325430337,target_24h,PatchTST
6,0.01622700158145223,0.01923207877039471,target_24h,PatchTST
7,0.015666553569929815,0.019353278885212016,target_24h,PatchTST
8,0.015402322826184221,0.018278850023360813,target_24h,PatchTST
9,0.015514106854601806,0.021829870830783072,target_24h,PatchTST
10,0.015661838662518718,0.01841183627188644,target_24h,PatchTST
11,0.01491807011797079,0.01969040113994304,target_24h,PatchTST
12,0.015067531640377285,0.02027911791468368,target_24h,PatchTST
13,0.015174199635885767,0.020745374988216686,target_24h,PatchTST
14,0.015254255196552224,0.01755003384588396,target_24h,PatchTST
15,0.014901315696092684,0.0191653053933645,target_24h,PatchTST
16,0.01463802281850532,0.02355992706382976,target_24h,PatchTST
17,0.015057569661580804,0.019233658142826137,target_24h,PatchTST
18,0.014272800010781902,0.01854900532292531,target_24h,PatchTST
19,0.01458730830102047,0.018039119155967936,target_24h,PatchTST
20,0.015054921390238538,0.01892642430303728,target_24h,PatchTST
1,0.027577208431521012,0.029771621558157838,target_24h,iTransformer
2,0.017963009761340583,0.02065449724357356,target_24h,iTransformer
3,0.016804289152678935,0.020345185527249295,target_24h,iTransformer
4,0.016043790650845907,0.024446806103429374,target_24h,iTransformer
5,0.015158597178367981,0.025318361791398597,target_24h,iTransformer
6,0.014169004544226536,0.020937670515302348,target_24h,iTransformer
7,0.01260879345988827,0.022680707508698106,target_24h,iTransformer
8,0.011746317415790105,0.023872021695270258,target_24h,iTransformer
9,0.011371868203825025,0.019895505365532112,target_24h,iTransformer
10,0.010783240873255391,0.01975444285199046,target_24h,iTransformer
11,0.009506436766806379,0.0214547915795051,target_24h,iTransformer
12,0.009698053481363093,0.02020497085964855,target_24h,iTransformer
13,0.008548025007067776,0.02166367738562472,target_24h,iTransformer
14,0.0077656992579073604,0.023490439525202793,target_24h,iTransformer
15,0.008274115736721389,0.022552485386019245,target_24h,iTransformer
16,0.006930021013119327,0.021588649943142253,target_24h,iTransformer
