target,model,model_type,lookback,n_features,train_seconds,status,val_MAE,val_RMSE,val_R2,val_MaxError,val_NRMSE,val_daylight_MAE,val_daylight_RMSE,val_daylight_R2,val_daylight_MaxError,val_daylight_NRMSE,val_skill_vs_persistence_daylight,test_MAE,test_RMSE,test_R2,test_MaxError,test_NRMSE,test_daylight_MAE,test_daylight_RMSE,test_daylight_R2,test_daylight_MaxError,test_daylight_NRMSE,test_skill_vs_persistence_daylight
target_1h,LSTM,deep_learning,168,60,23.255005598068237,ok,41.20659255981445,85.90847237030816,0.9951618909835815,1087.735107421875,0.021945434248801386,76.72834777832031,117.88390160582784,0.9898542761802673,1087.735107421875,0.03020387281782093,0.7839697452681265,40.730140686035156,84.78014708552793,0.9938940405845642,1002.3314208984375,0.02243822741889585,79.99642944335938,119.11789639759216,0.9867778420448303,1002.3314208984375,0.031606589213018565,0.7645391268338402
target_1h,GRU,deep_learning,168,60,23.05220651626587,ok,50.83897399902344,89.51322080686602,0.9947473406791687,1108.345703125,0.022866272061595406,78.21720123291016,121.30534738702784,0.9892567992210388,1108.345703125,0.031080505774659928,0.7776997135369458,49.376182556152344,86.65606123762348,0.9936208128929138,954.1810302734375,0.022934713799375724,81.14768981933594,120.46024207959654,0.9864781498908997,954.1810302734375,0.03196276548741623,0.7618857061814086
target_1h,TSMixer,deep_learning,168,60,29.348746299743652,ok,61.08805847167969,104.89337964690623,0.99278724193573,1208.29248046875,0.026795154222429632,97.13422393798828,140.93743070951734,0.9854980111122131,1208.29248046875,0.036110581465605855,0.7417225877097404,66.95157623291016,109.88877544476506,0.9897417426109314,903.8450927734375,0.0290835699037672,113.93367767333984,151.76808222169115,0.978536069393158,903.8450927734375,0.04026994746799089,0.6999993599669101
target_1h,iTransformer,deep_learning,168,60,20.89157462120056,ok,71.74166870117188,144.05498217911452,0.9863961338996887,1454.152587890625,0.03679903800404026,134.938720703125,197.85390561914616,0.9714198708534241,1454.152587890625,0.0506935562907633,0.6374192824604719,75.09905242919922,149.16896748109173,0.9810972809791565,1548.3851318359375,0.039479610866987605,148.09176635742188,209.65281941223685,0.9590409994125366,1548.3851318359375,0.05562900908186018,0.5855783436958816
target_1h,PatchTST,deep_learning,168,60,59.84138822555542,ok,87.12274169921875,166.17598211309,0.9818973541259766,1449.276123046875,0.04244987704441159,159.42808532714844,227.84918257479004,0.9620973467826843,1449.276123046875,0.05837885952523644,0.582450900576168,76.210693359375,168.84716531341294,0.9757810831069946,1618.1026611328125,0.04468771551571166,149.35336303710938,237.28291065203157,0.9475336670875549,1618.1026611328125,0.06296034190543132,0.5309618200186363
target_24h,LSTM,deep_learning,168,60,12.992805242538452,ok,112.5716323852539,213.9039193627597,0.9701490998268127,2110.789306640625,0.054642042494970254,196.647216796875,292.8399066683023,0.9376088380813599,2110.789306640625,0.07503059515765712,0.18929585345446287,107.08929443359375,208.1022040819126,0.9629595875740051,2121.4814453125,0.05507709932200048,196.58090209960938,292.11923667827836,0.9199396967887878,2121.4814453125,0.07751054202714683,0.1602195472664164
target_24h,GRU,deep_learning,168,60,12.162291288375854,ok,104.6698989868164,219.88334087363236,0.9684568643569946,2261.248291015625,0.05616949372291314,180.6431121826172,300.88982618227556,0.9341315031051636,2261.248291015625,0.07709312228716063,0.16701028724327016,104.17340087890625,219.51746620428636,0.9587844610214233,2245.576171875,0.05809830483241005,185.4430389404297,307.6217111770559,0.9112167954444885,2245.576171875,0.08162394864434143,0.11565324207846961
target_24h,PatchTST,deep_learning,168,60,31.163590908050537,ok,115.34184265136719,220.81189852734386,0.9681898951530457,2077.78662109375,0.056406695018355914,201.970703125,301.3829063666352,0.9339154958724976,2077.78662109375,0.07721945786796948,0.16564523370740558,106.97927856445312,225.72245990651882,0.9564214944839478,2300.662109375,0.059740541424463264,204.26072692871094,316.9292236643696,0.9057630300521851,2300.662109375,0.08409359202017519,0.08889613036169441
target_24h,TSMixer,deep_learning,168,60,21.443511724472046,ok,110.90160369873047,230.33494632816792,0.9653869867324829,2176.912841796875,0.05883937032493496,208.3699188232422,316.10601959627405,0.9273010492324829,2176.912841796875,0.0809917714189523,0.1248854578929447,102.76712799072266,218.57358958140392,0.9591381549835205,2081.98486328125,0.05784849495300219,203.3323211669922,307.50105436811106,0.9112864136695862,2081.98486328125,0.08159193372205517,0.11600010465004573
target_24h,iTransformer,deep_learning,168,60,26.495662450790405,ok,118.9735107421875,235.19535596765087,0.9639108180999756,2079.9599609375,0.060080968472621024,222.6313934326172,322.7406321258605,0.9242173433303833,2079.9599609375,0.0826916726803578,0.10651805725532904,104.67713928222656,229.55395777736004,0.954929530620575,2228.52587890625,0.060754599827714445,206.10606384277344,322.9042645467848,0.9021762013435364,2228.52587890625,0.08567900167240028,0.0717191631944738
