target,model,model_type,lookback,n_features,train_seconds,status,val_MAE,val_RMSE,val_R2,val_MaxError,val_NRMSE,val_daylight_MAE,val_daylight_RMSE,val_daylight_R2,val_daylight_MaxError,val_daylight_NRMSE,val_skill_vs_persistence_daylight,test_MAE,test_RMSE,test_R2,test_MaxError,test_NRMSE,test_daylight_MAE,test_daylight_RMSE,test_daylight_R2,test_daylight_MaxError,test_daylight_NRMSE,test_skill_vs_persistence_daylight,boosting_model,deep_model,boosting_weight,deep_weight
target_1h,Ensemble_XGBoost_compact_w0.7_GRU_w0.3,ensemble,,,,ok,34.93967257202929,77.13655082395343,0.9960994451377815,1159.8888427734373,0.01970463514925058,59.93118770673522,105.73649445837341,0.9918374786648253,1159.8888427734373,0.027091499240512525,0.8062306937492092,35.5506477355957,77.14325022117943,0.9949445128440857,892.8157958984375,0.020417018037835986,64.4963150024414,108.22090670677963,0.9890863299369812,892.8157958984375,0.028715196003165237,0.7860792545986655,XGBoost_compact,GRU,0.7000000000000001,0.29999999999999993
target_1h,Ensemble_XGBoost_compact_w0.7_LSTM_w0.3,ensemble,,,,ok,33.349125350426625,77.58951534772932,0.9960535006268142,1153.7056640625,0.0198203455431069,61.93612925169469,106.54830963234035,0.9917116584027068,1153.7056640625,0.027299500179844026,0.8047429873156906,33.40536880493164,77.05769386371324,0.9949557185173035,907.2608642578125,0.020394374375705723,65.037109375,108.27647446179157,0.9890751242637634,907.2608642578125,0.028729940279711975,0.7859694135713245,XGBoost_compact,LSTM,0.7000000000000001,0.29999999999999993
target_1h,Ensemble_CatBoost_compact_w0.7_GRU_w0.3,ensemble,,,,ok,36.323514815938765,77.93530492380403,0.9960182458828267,1098.431921210191,0.01990867795312763,61.23972109396964,106.68061230388695,0.9916910621013006,1098.431921210191,0.027333398388254306,0.8045005336859195,36.28065466365695,76.90460026761512,0.9949757480820082,910.7547562277082,0.02035385605810761,65.16005794321877,107.79121009167575,0.9891728400390092,910.7547562277082,0.02860118085673853,0.7869286378000879,CatBoost_compact,GRU,0.7000000000000001,0.29999999999999993
target_1h,Ensemble_CatBoost_compact_w0.7_LSTM_w0.3,ensemble,,,,ok,34.95416866562642,78.20453834934693,0.9959906878206326,1092.2487424992537,0.019977453992030558,63.662081167897476,107.30535835600773,0.9915934590634371,1092.2487424992537,0.027493469017446637,0.8033556441213233,34.12560534898625,76.76186026409849,0.9949943814585355,925.1998245870832,0.02031607796063098,65.68154617860486,107.79677195894098,0.9891717226792518,925.1998245870832,0.028602656635435316,0.7869176436324413,CatBoost_compact,LSTM,0.7000000000000001,0.29999999999999993
target_1h,XGBoost_compact,boosting_for_ensemble,,67.0,1.9114878177642822,ok,34.13265609741211,79.32881284170966,0.9958745837211609,1181.978759765625,0.02026465141585855,63.42980194091797,108.94827919275504,0.991334080696106,1181.978759765625,0.02791441344944201,0.8003448801235928,33.753440856933594,79.14942417766696,0.9946781396865845,920.923828125,0.020947979460114733,65.51580047607422,111.20401085954589,0.9884763956069946,920.923828125,0.02950672901699068,0.7801825394131365,,,,
target_1h,CatBoost_compact,boosting_for_ensemble,,67.0,4.14385986328125,ok,36.26373890502727,79.62449267240997,0.9958437724536089,1094.1831575324159,0.020340183224355393,65.59005302244333,109.20061759771927,0.9912938789196777,1094.1831575324159,0.02797906686680239,0.7998824528611721,34.510787055685654,77.74282407182956,0.9948656272586638,892.1434087293151,0.020575703471605505,65.89987610231222,109.11442564131649,0.9889053859203499,892.1434087293151,0.028952281166453358,0.7843130317649922,,,,
target_1h,LSTM,deep_learning,168.0,60.0,23.255005598068237,ok,41.20659255981445,85.90847237030816,0.9951618909835815,1087.735107421875,0.021945434248801386,76.72834777832031,117.88390160582784,0.9898542761802673,1087.735107421875,0.03020387281782093,0.7839697452681265,40.730140686035156,84.78014708552793,0.9938940405845642,1002.3314208984375,0.02243822741889585,79.99642944335938,119.11789639759216,0.9867778420448303,1002.3314208984375,0.031606589213018565,0.7645391268338402,,,,
target_1h,GRU,deep_learning,168.0,60.0,23.05220651626587,ok,50.83897399902344,89.51322080686602,0.9947473406791687,1108.345703125,0.022866272061595406,78.21720123291016,121.30534738702784,0.9892567992210388,1108.345703125,0.031080505774659928,0.7776997135369458,49.376182556152344,86.65606123762348,0.9936208128929138,954.1810302734375,0.022934713799375724,81.14768981933594,120.46024207959654,0.9864781498908997,954.1810302734375,0.03196276548741623,0.7618857061814086,,,,
target_1h,TSMixer,deep_learning,168.0,60.0,29.348746299743652,ok,61.08805847167969,104.89337964690623,0.99278724193573,1208.29248046875,0.026795154222429632,97.13422393798828,140.93743070951734,0.9854980111122131,1208.29248046875,0.036110581465605855,0.7417225877097404,66.95157623291016,109.88877544476506,0.9897417426109314,903.8450927734375,0.0290835699037672,113.93367767333984,151.76808222169115,0.978536069393158,903.8450927734375,0.04026994746799089,0.6999993599669101,,,,
target_1h,iTransformer,deep_learning,168.0,60.0,20.89157462120056,ok,71.74166870117188,144.05498217911452,0.9863961338996887,1454.152587890625,0.03679903800404026,134.938720703125,197.85390561914616,0.9714198708534241,1454.152587890625,0.0506935562907633,0.6374192824604719,75.09905242919922,149.16896748109173,0.9810972809791565,1548.3851318359375,0.039479610866987605,148.09176635742188,209.65281941223685,0.9590409994125366,1548.3851318359375,0.05562900908186018,0.5855783436958816,,,,
