model,horizon,RMSE,MAE,R2,daylight_RMSE
Persistence_current,1,260.5635269228984,157.8676300048828,0.9584776163101196,343.8633108700316
Persistence_current,2,496.6913497082469,318.2290344238281,0.8248960971832275,609.024963568818
Persistence_current,3,839.2328342003785,588.083984375,0.3749770522117615,1122.931431566505
Persistence_current,4,1246.2714892831336,904.5108032226562,-0.46698296070098877,1720.2107429033224
Persistence_current,5,1638.7602783811915,1205.8546142578125,-1.1329889297485352,2285.678783206424
Persistence_current,6,1937.7941712163342,1433.8883056640625,-1.417083501815796,2564.344945595268
Persistence_current,7,2083.250705028082,1578.33544921875,-1.654228925704956,2552.61934099074
Persistence_current,8,2085.526911837869,1672.0684814453125,-2.087186098098755,2142.7677195627157
Persistence_current,9,2048.1800457967556,1741.7352294921875,-2.7233731746673584,1980.785450269665
Persistence_current,10,2038.94114677202,1755.901123046875,-2.9271514415740967,1961.6339490333053
Persistence_current,11,2070.166539194371,1714.1226806640625,-2.4037885665893555,2025.9727910315085
Persistence_current,12,2111.0382516667005,1636.4722900390625,-1.8681249618530273,2060.4498295275234
Persistence_current,13,2107.461862051126,1525.55810546875,-1.7157418727874756,2039.9390922280008
Persistence_current,14,2040.7206447723313,1473.295654296875,-1.955578327178955,1956.618958816458
Persistence_current,15,1961.8725748631077,1540.0706787109375,-2.4158453941345215,1838.215370950858
Persistence_current,16,1913.8068737466695,1553.76025390625,-2.460050106048584,1733.9395894897839
Persistence_current,17,1916.6645507234698,1511.68408203125,-1.9181997776031494,1740.2395668413012
Persistence_current,18,1938.713619903672,1433.8712158203125,-1.419478178024292,2129.4136516891217
Persistence_current,19,1865.6872058306024,1321.9107666015625,-1.1288838386535645,2358.9917337710194
Persistence_current,20,1618.9585386908461,1128.789794921875,-0.8604844808578491,2237.1885258064417
Persistence_current,21,1236.1307576466172,850.1064453125,-0.3560616970062256,1748.255130122603
Persistence_current,22,807.9024538890818,539.2888793945312,0.38350576162338257,1142.5278990029083
Persistence_current,23,416.1343870974856,257.8954772949219,0.8624571561813354,588.2803859555407
Persistence_current,24,227.7508061182221,82.7082290649414,0.9666103720664978,311.28703343939657
SeasonalPersistence_yesterday,1,228.91554801935146,76.41870880126953,0.9679516553878784,309.27002006741617
SeasonalPersistence_yesterday,2,249.21186706796288,94.50619506835938,0.9559181332588196,344.38907639107833
SeasonalPersistence_yesterday,3,257.3099571771368,110.66920471191406,0.9412450790405273,363.9328148848356
SeasonalPersistence_yesterday,4,256.51440627185053,115.97945404052734,0.9378525614738464,362.8076280895979
SeasonalPersistence_yesterday,5,244.53053713953602,103.69962310791016,0.9525076150894165,345.85791202819115
SeasonalPersistence_yesterday,6,227.75569422080318,82.72508239746094,0.9666101336479187,311.2937092803194
SeasonalPersistence_yesterday,7,228.91554801935146,76.41870880126953,0.9679516553878784,309.27002006741617
SeasonalPersistence_yesterday,8,249.21188274237647,94.50769805908203,0.955917239189148,344.31400321871894
SeasonalPersistence_yesterday,9,257.3103063423616,110.67554473876953,0.9412355422973633,363.8501580321218
SeasonalPersistence_yesterday,10,256.5149240297726,115.98721313476562,0.9378424882888794,362.725468674313
SeasonalPersistence_yesterday,11,244.53149560690542,103.7099609375,0.9525078535079956,345.7802544608353
SeasonalPersistence_yesterday,12,227.75629450686978,82.73295593261719,0.9666153788566589,311.22812423124617
SeasonalPersistence_yesterday,13,228.9163329690566,76.42769622802734,0.9679577946662903,309.20659557971914
SeasonalPersistence_yesterday,14,249.21192192840616,94.50859069824219,0.9559229016304016,344.3140599438251
SeasonalPersistence_yesterday,15,257.3096839170652,110.67105865478516,0.9412417411804199,363.8492776892652
SeasonalPersistence_yesterday,16,256.51136061586044,115.96805572509766,0.9378416538238525,362.72038559336585
