task,model,model_type,train_seconds,val_RMSE,val_MAE,val_R2,val_MaxError,val_NRMSE,val_daylight_RMSE,val_daylight_MAE,val_daylight_R2,val_h1_RMSE,val_h12_RMSE,val_h24_RMSE,val_daily_total_RMSE,val_daily_total_MAE,val_daily_total_R2,val_skill_vs_persistence_daylight,test_RMSE,test_MAE,test_R2,test_MaxError,test_NRMSE,test_daylight_RMSE,test_daylight_MAE,test_daylight_R2,test_h1_RMSE,test_h12_RMSE,test_h24_RMSE,test_daily_total_RMSE,test_daily_total_MAE,test_daily_total_R2,test_skill_vs_persistence_daylight,tabular_model,deep_model,w_tabular,w_deep
24h_multihorizon,Ensemble_HistGradientBoosting_w0.5_TSMixer-lite_w0.5,ensemble,0.0,162.24309620327455,75.0375747680664,0.9807193279266357,2159.159912109375,0.04139648750424385,225.29830052343937,139.991455078125,0.9585859775543213,70.30588163295799,162.13745012912656,170.46066376330054,2045.162768583469,1400.127197265625,0.8778102397918701,0.2716616103037738,179.13629587551486,80.5996322631836,0.976101815700531,2478.03515625,0.045899897813797,248.7674459962557,150.51649475097656,0.9493024945259094,80.2708397541956,173.07058034585197,185.09850629124483,2331.6245409585135,1562.799560546875,0.853286623954773,0.26730631228844237,HistGradientBoosting,TSMixer-lite,0.5,0.5
24h_multihorizon,Ensemble_HistGradientBoosting_w0.7_TSMixer-lite_w0.3,ensemble,0.0,162.29309544193492,74.56858825683594,0.9807074666023254,2103.5693359375,0.041409242898225784,225.44729844245197,139.7936248779297,0.9585312008857727,66.72376664394966,162.3300072383415,170.7463853936592,2041.5814948220902,1408.197509765625,0.8782378435134888,0.27117993377026417,179.47993990450576,80.17696380615234,0.9760100245475769,2489.7099609375,0.04598795250058174,249.32306006715464,150.495849609375,0.9490757584571838,77.05429738887864,173.36358222136792,184.91799280356685,2331.978023052533,1574.860595703125,0.8532421588897705,0.2656698645574258,HistGradientBoosting,TSMixer-lite,0.7,0.30000000000000004
24h_multihorizon,Ensemble_XGBoost_w0.5_TSMixer-lite_w0.5,ensemble,0.0,162.48065389647164,74.19857788085938,0.9806628227233887,2190.386962890625,0.041457097977399826,225.65984841681518,139.5200653076172,0.9584529995918274,70.11038659566606,162.93627732567722,171.0671240697639,2054.042112518631,1406.4866943359375,0.8767469525337219,0.27049280783234986,178.9699586348223,79.75367736816406,0.9761461615562439,2486.32470703125,0.04585728049278259,248.5647237139655,150.06297302246094,0.9493850469589233,79.58389711296815,173.2812020964767,185.37293491769503,2330.437190743402,1564.5965576171875,0.8534359931945801,0.26790338935372193,XGBoost,TSMixer-lite,0.5,0.5
24h_multihorizon,Ensemble_XGBoost_w0.7_TSMixer-lite_w0.3,ensemble,0.0,162.5264101134797,73.27530670166016,0.9806519746780396,2147.287109375,0.041468773037195206,225.80370346830009,138.84674072265625,0.9584000110626221,66.29117603068488,163.14428166694964,171.51109771855872,2053.6381132030056,1414.9368896484375,0.8767954111099243,0.27002775702502124,179.19333679890278,78.9160385131836,0.9760865569114685,2492.69189453125,0.04591451957821846,248.95301075202926,149.65728759765625,0.9492267966270447,76.0137605757997,173.37858233501623,185.2026866874506,2330.6002445722,1577.56494140625,0.8534154891967773,0.2667597692121467,XGBoost,TSMixer-lite,0.7,0.30000000000000004
24h_multihorizon,Ensemble_HistGradientBoosting_w0.7_LSTM_w0.3,ensemble,0.0,162.90726608641495,76.67695617675781,0.9805611968040466,2051.4794921875,0.04156595095992088,226.24578725359729,142.2537384033203,0.9582369327545166,68.03795686393552,163.61904950027977,171.6465697935004,2047.4034775783693,1424.8077392578125,0.8775423765182495,0.2685986002513301,180.5477235213726,82.50333404541016,0.9757237434387207,2529.74169921875,0.04626154899597168,250.75693223219173,153.37796020507812,0.9484883546829224,78.8623083093248,174.67113630870728,185.51359240969379,2350.6293838034103,1600.6353759765625,0.8508851528167725,0.26144668704277707,HistGradientBoosting,LSTM,0.7,0.30000000000000004
24h_multihorizon,Ensemble_HistGradientBoosting_w0.5_LSTM_w0.5,ensemble,0.0,163.10860190567817,78.28598022460938,0.9805130958557129,2072.343505859375,0.041617318987846375,226.37800246490383,143.5668487548828,0.9581881165504456,72.61179755749922,163.86805143544606,171.36164813961437,2050.518471021415,1415.8642578125,0.8771694898605347,0.2681711784116064,180.85188496909564,84.24322509765625,0.9756418466567993,2541.00341796875,0.0463394820690155,251.03997751852194,154.85752868652344,0.9483720064163208,83.44293931240527,175.07334958346743,185.71515066762862,2360.0747869506167,1596.26318359375,0.8496844172477722,0.26061303497950117,HistGradientBoosting,LSTM,0.5,0.5
24h_multihorizon,Ensemble_CatBoost_w0.7_TSMixer-lite_w0.3,ensemble,0.0,163.03646423998222,74.70677947998047,0.980530321598053,2170.24609375,0.04159891605377197,226.46924805036997,141.00352478027344,0.9581543803215027,78.39722883036906,163.05279771825445,168.6396108847948,2056.8443062127963,1421.396240234375,0.8764104247093201,0.26787620209518104,180.7567750286279,80.85929107666016,0.9756674766540527,2513.30908203125,0.046315114945173264,251.04403093630808,152.6913604736328,0.9483703374862671,84.4659723692402,175.32971172194402,184.22011502886974,2359.3488508484706,1589.520751953125,0.8497768640518188,0.2606010964655462,CatBoost,TSMixer-lite,0.7,0.30000000000000004
24h_multihorizon,Ensemble_XGBoost_w0.7_LSTM_w0.3,ensemble,0.0,163.04767084736292,75.12071990966797,0.9805276393890381,2112.11865234375,0.04160177335143089,226.4922218587208,140.9833221435547,0.9581459164619446,67.39914340145577,164.08016571557332,172.08039432014039,2059.1568662926097,1428.81689453125,0.8761323690414429,0.2678019329749056,180.29394943570625,81.08342742919922,0.9757919311523438,2519.267578125,0.04619652405381203,250.45072650373766,152.43788146972656,0.9486140608787537,77.78255887307739,174.80717613451972,185.6189392949976,2350.550680159864,1603.746826171875,0.8508951663970947,0.2623485534565312,XGBoost,LSTM,0.7,0.30000000000000004
24h_multihorizon,Ensemble_CatBoost_w0.5_TSMixer-lite_w0.5,ensemble,0.0,163.10585974873803,75.25546264648438,0.9805137515068054,2206.786376953125,0.04161662235856056,226.4970508913968,141.15347290039062,0.9581441283226013,78.80561652136541,163.07537559361927,169.64786024107406,2055.616817405423,1409.7227783203125,0.8765578866004944,0.26778632180573625,180.27511527523703,81.16190338134766,0.9757969975471497,2501.05078125,0.04619169980287552,250.32516353734795,152.30966186523438,0.9486655592918396,85.67339531069432,174.87120260351617,185.06175067393045,2349.3056420993844,1572.1004638671875,0.8510531187057495,0.26271837352087135,CatBoost,TSMixer-lite,0.5,0.5
24h_multihorizon,Ensemble_XGBoost_w0.5_LSTM_w0.5,ensemble,0.0,163.23415289661352,77.17102813720703,0.9804830551147461,2107.867431640625,0.04164935275912285,226.60829709545058,142.72439575195312,0.9581030011177063,72.18393524748079,164.2459747889579,171.57463527208793,2058.994779012322,1419.8057861328125,0.8761518597602844,0.2674266880182994,180.72291896021378,83.24820709228516,0.9756765961647034,2533.52197265625,0.046306438744068146,250.91240534547111,154.284423828125,0.9484244585037231,82.71131495202908,175.42497506056543,185.77628515233047,2360.4388363183657,1598.2896728515625,0.849638044834137,0.2609887727515704,XGBoost,LSTM,0.5,0.5
24h_multihorizon,Ensemble_HistGradientBoosting_w0.3_TSMixer-lite_w0.7,ensemble,0.0,163.3845934922415,76.37492370605469,0.9804471135139465,2214.750732421875,0.0416877418756485,226.76971558444484,141.85775756835938,0.9580432772636414,76.53145735476197,163.24352135881227,171.61929843042128,2063.2611322854896,1411.0582275390625,0.8756380677223206,0.26690485859451707,179.92179833367885,81.88396453857422,0.9758917689323425,2474.9833984375,0.0461011677980423,249.74575352996496,152.1935577392578,0.94890296459198,85.66117791825974,174.1233342974887,186.53028406937037,2344.517327724408,1567.9049072265625,0.8516596555709839,0.2644249073211694,HistGradientBoosting,TSMixer-lite,0.3,0.7
24h_multihorizon,Ensemble_XGBoost_w0.3_TSMixer-lite_w0.7,ensemble,0.0,163.56787940141243,75.92337799072266,0.9804031848907471,2233.48681640625,0.04173450917005539,227.04897771461117,141.6962127685547,0.957939863204956,76.47733784020598,163.8485807746744,172.01616362096615,2068.712764015343,1415.7103271484375,0.8749800324440002,0.26600206736299903,179.8452948456673,81.4027099609375,0.9759122729301453,2479.95703125,0.04608156532049179,249.66171644096738,151.98812866210938,0.9489372968673706,85.28964322933646,174.36804421610628,186.7361315131595,2343.6963327188955,1568.7200927734375,0.8517634868621826,0.2646724213976016,XGBoost,TSMixer-lite,0.3,0.7
24h_multihorizon,Ensemble_CatBoost_w0.7_LSTM_w0.3,ensemble,0.0,163.58083461434288,76.60570526123047,0.9804000854492188,2118.15625,0.041737813502550125,227.1892709697137,143.38821411132812,0.9578878879547119,81.39498482515677,163.64421678598973,168.96238949097517,2063.015147787335,1437.7890625,0.8756677508354187,0.2655485310368517,181.92264195599734,83.0220718383789,0.9753525853157043,2518.912109375,0.046613842248916626,252.6343006081122,155.5912628173828,0.9477141499519348,87.55650798109613,176.40898193190165,184.62650219429494,2380.0115545938006,1617.58935546875,0.8471341133117676,0.2559172820475313,CatBoost,LSTM,0.7,0.30000000000000004
