feature,importance_mean,importance_std,model
anchor_month_cos,0.05116493709404324,0.031961263829359154,HistGradientBoosting
Solar_Radiation_Wh_m2_std_72h,0.050940647037080566,0.0007824437255266048,HistGradientBoosting
future_h12_hour_sin,0.021217515747437687,0.004653014950307011,HistGradientBoosting
future_mean_clear_sky_proxy,0.01779935230641172,0.013272586885221926,HistGradientBoosting
Solar_Radiation_Wh_m2_mean_24h,0.011786729993502831,0.06971341570195477,HistGradientBoosting
Solar_Radiation_Wh_m2_mean_6h,0.006291398097431511,0.0029231700601428656,HistGradientBoosting
future_h12_clear_sky_proxy,0.001641919079958143,0.0009437178069617858,HistGradientBoosting
future_h1_hour_sin,0.00044497707803259345,0.003943684825841842,HistGradientBoosting
future_max_clear_sky_proxy,0.0,0.0,HistGradientBoosting
future_h1_clear_sky_proxy,0.0,0.0,HistGradientBoosting
Solar_Radiation_Wh_m2_lag_48h,0.0,0.0,HistGradientBoosting
Solar_Radiation_Wh_m2_lag_3h,0.0,0.0,HistGradientBoosting
Solar_Radiation_Wh_m2_lag_6h,0.0,0.0,HistGradientBoosting
Solar_Radiation_Wh_m2_lag_12h,0.0,0.0,HistGradientBoosting
Solar_Radiation_Wh_m2_lag_2h,0.0,0.0,HistGradientBoosting
Solar_Radiation_Wh_m2_lag_1h,0.0,0.0,HistGradientBoosting
Solar_Radiation_Wh_m2_lag_168h,0.0,0.0,HistGradientBoosting
Solar_Radiation_Wh_m2_lag_24h,0.0,0.0,HistGradientBoosting
Solar_Radiation_Wh_m2_std_3h,0.0,0.0,HistGradientBoosting
Solar_Radiation_Wh_m2_max_6h,0.0,0.0,HistGradientBoosting
Solar_Radiation_Wh_m2_max_3h,0.0,0.0,HistGradientBoosting
Solar_Radiation_Wh_m2_max_168h,0.0,0.0,HistGradientBoosting
future_h24_clear_sky_proxy,0.0,0.0,HistGradientBoosting
Solar_Radiation_Wh_m2_max_72h,0.0,0.0,HistGradientBoosting
future_h24_hour_sin,0.0,0.0,HistGradientBoosting
future_h24_hour_cos,0.0,0.0,HistGradientBoosting
future_daylight_count,0.0,0.0,HistGradientBoosting
anchor_sun_up_proxy,0.0,0.0,HistGradientBoosting
Solar_Radiation_Wh_m2_max_24h,0.0,0.0,HistGradientBoosting
Solar_Radiation_Wh_m2_std_24h,-0.00035677426068048135,0.0004181546691626181,HistGradientBoosting
Solar_Radiation_Wh_m2_mean_72h,-0.001503825370733125,0.0006138077847737122,HistGradientBoosting
future_h12_hour_cos,-0.011631906007906423,0.005117826027728256,HistGradientBoosting
anchor_month_sin,-0.015138442564236243,0.004910725305578012,HistGradientBoosting
sim_pv_ac_kWh_per_kWp_lag_48h,-0.06485520741345852,0.05622344008661173,HistGradientBoosting
Wind_Speed_last,-0.09830021253569043,0.35607485997365984,HistGradientBoosting
clear_sky_index_proxy_lag_48h,-0.2089476601082083,0.08750823080740133,HistGradientBoosting
Wind_Speed_mean_168h,-0.23634198425749275,0.12914153344534895,HistGradientBoosting
Wind_Speed_mean_24h,-0.9980864943129006,0.09506737958540157,HistGradientBoosting
