epoch,train_loss,val_loss,model
1,0.18489169251433638,0.02720161333369712,LSTM
2,0.05451373543676942,0.02362962447417279,LSTM
3,0.04666183104868545,0.02339523642634352,LSTM
4,0.04347674336371034,0.02309878240339458,LSTM
5,0.04184037702547949,0.02307625386553506,LSTM
6,0.040131856232535006,0.021578936915223796,LSTM
7,0.038974170248175774,0.021983552336071927,LSTM
8,0.03848000966705555,0.021524546629128356,LSTM
9,0.037701315008277114,0.021465976295682292,LSTM
10,0.037571527908534505,0.021913850020306807,LSTM
11,0.03764734207111042,0.020738114331228037,LSTM
12,0.03672563782784828,0.021044296639350552,LSTM
13,0.0362007406995047,0.020302616758272052,LSTM
14,0.036181091157676176,0.02039060470027228,LSTM
15,0.03545993679138117,0.02034643304068595,LSTM
1,0.1844231139781863,0.02815783955156803,GRU
2,0.056242019327920535,0.024581067264080048,GRU
3,0.04865822936733102,0.023653701956694324,GRU
4,0.044775893045372744,0.0234288500311474,GRU
5,0.04190451244628707,0.02327304449863732,GRU
6,0.04062258300566396,0.02163019908281664,GRU
7,0.039720948309052824,0.02111704406949381,GRU
8,0.03857596846687239,0.02130626169188569,GRU
9,0.037912497145318705,0.02182768106771012,GRU
10,0.0377246618790682,0.02203623562430342,GRU
11,0.03744246871318928,0.023424508050084114,GRU
1,0.1600414080501989,0.02823578380048275,TSMixer-lite
2,0.057230395546486214,0.024486669649680454,TSMixer-lite
3,0.048065852763694385,0.023664837315057714,TSMixer-lite
4,0.044445993205489115,0.024332822998985648,TSMixer-lite
5,0.04210950087669284,0.022508454121028382,TSMixer-lite
6,0.040413494373476785,0.022303415384764474,TSMixer-lite
7,0.038786743550972884,0.0233553658084323,TSMixer-lite
8,0.03826599340712608,0.025190555800994236,TSMixer-lite
9,0.03782689900592316,0.0219227341003716,TSMixer-lite
10,0.03704348323476869,0.022653958721396823,TSMixer-lite
11,0.036507102769128115,0.023291213360304635,TSMixer-lite
12,0.035962970840723016,0.02195493915739159,TSMixer-lite
13,0.035717291215997794,0.02080527483485639,TSMixer-lite
14,0.03595834948815579,0.020305807896268863,TSMixer-lite
15,0.03511338852086039,0.022480339044705033,TSMixer-lite
1,0.20770159272780253,0.03464378913243612,PatchTST-lite
2,0.05037010690673839,0.031280362978577614,PatchTST-lite
3,0.04329374179157407,0.030768330364177626,PatchTST-lite
4,0.039719011872833554,0.028069932168970507,PatchTST-lite
5,0.037306660028217836,0.028851798347507913,PatchTST-lite
6,0.03660053863774899,0.027801693649962544,PatchTST-lite
7,0.035188357843909154,0.026951799013962347,PatchTST-lite
8,0.034774764744175034,0.026766243468349177,PatchTST-lite
9,0.03411879583240249,0.02746458662052949,PatchTST-lite
10,0.033636967954767304,0.026080081472173333,PatchTST-lite
11,0.033477759183666043,0.027266308898106217,PatchTST-lite
12,0.03307016185203264,0.026251813319201272,PatchTST-lite
13,0.03317160304462494,0.026789440230155986,PatchTST-lite
14,0.03268132984724849,0.026461882516741753,PatchTST-lite
1,0.09130686465217623,0.030811533487091463,iTransformer-mini
2,0.037120425012395826,0.02660738506043951,iTransformer-mini
3,0.033748062024282856,0.02600403828546405,iTransformer-mini
4,0.03143815011825672,0.025244631494084995,iTransformer-mini
5,0.030482961644613466,0.023367059649899602,iTransformer-mini
6,0.030195303326256053,0.023124462614456814,iTransformer-mini
7,0.030225527212890083,0.022267064545303583,iTransformer-mini
8,0.029415022646791713,0.024990140305211146,iTransformer-mini
9,0.02910298728492371,0.02248039748519659,iTransformer-mini
10,0.029050116383925427,0.023391698797543842,iTransformer-mini
11,0.028715885006064593,0.022545610088855028,iTransformer-mini
