rank_in_task_dataset,task,dataset_years,model,model_family,source_notebook,primary_test_RMSE,primary_val_RMSE,test_R2,selection_metric,val_RMSE,test_RMSE,val_daylight_RMSE,test_daylight_RMSE,test_h1_RMSE,test_h12_RMSE,test_h24_RMSE,test_daily_total_RMSE,train_seconds,note
1,daily_total,20y,LSTM,deep_model,07_compact_multihorizon_24h_sequence_forecasting__derived,2431.068,232.817,,test_daily_total_RMSE,168.186,186.211,232.817,257.902,103.411,181.194,190.332,2431.068,,20y daily_total derived from notebook 07 24h multihorizon output.
2,daily_total,20y,GRU,deep_model,07_compact_multihorizon_24h_sequence_forecasting__derived,2432.532,236.649,,test_daily_total_RMSE,170.919,187.349,236.649,259.522,103.793,180.169,189.29,2432.532,,20y daily_total derived from notebook 07 24h multihorizon output.
