rank_in_task_dataset,task,dataset_years,model,model_family,source_notebook,primary_test_RMSE,primary_val_RMSE,test_R2,selection_metric,val_RMSE,test_RMSE,val_daylight_RMSE,test_daylight_RMSE,test_h1_RMSE,test_h12_RMSE,test_h24_RMSE,test_daily_total_RMSE,train_seconds,note
1,daily_total,20y,LSTM,deep_model,07_compact_multihorizon_24h_sequence_forecasting__derived,2431.068,232.817,,test_daily_total_RMSE,168.186,186.211,232.817,257.902,103.411,181.194,190.332,2431.068,,20y daily_total derived from notebook 07 24h multihorizon output.
1,multihorizon,20y,XGBoost,boosting/tree,07_compact_multihorizon_24h_sequence_forecasting,252.298,228.878,,test_daylight_RMSE,164.706,181.57,228.878,252.298,75.28,175.731,187.184,2355.934,,20y multihorizon from notebook 07; notebook 06 intentionally excluded.
1,target_1h,20y,XGBoost,boosting/tree,07_compact_multihorizon_24h_sequence_forecasting__derived,75.28,228.878,,test_h1_RMSE,164.706,181.57,228.878,252.298,75.28,175.731,187.184,2355.934,,20y target_1h derived from notebook 07 24h multihorizon output.
1,target_24h,20y,CatBoost,boosting/tree,07_compact_multihorizon_24h_sequence_forecasting__derived,184.624,228.746,,test_h24_RMSE,164.652,183.221,228.746,254.467,86.55,177.893,184.624,2402.023,,20y target_24h derived from notebook 07 24h multihorizon output.
