rank_in_task_dataset,rank_in_scope,task,dataset_years,comparison_scope,model,model_family,source_notebook,source_task_raw,sort_metric,sort_RMSE,val_sort_RMSE,test_RMSE,test_daylight_RMSE,val_RMSE,val_daylight_RMSE,test_R2,test_h1_RMSE,test_h12_RMSE,test_h24_RMSE,test_daily_total_RMSE,train_seconds,n_params,note
2,2,target_1h,20y,direct_point,TSMixer,deep_standard,08_standard_deep_sequence_models_all_tasks,point_20y_target_1h,val_daylight_RMSE,89.32974706634683,89.32974706634683,79.25497815594929,106.85478610010878,,89.32974706634683,0.9961575865745544,79.25497815594929,,,,123.01754641532898,1350705.0,Direct point forecasting standard deep model. Ranked by validation daylight RMSE.
3,3,target_1h,20y,direct_point,iTransformer,deep_standard,08_standard_deep_sequence_models_all_tasks,point_20y_target_1h,val_daylight_RMSE,91.07217797748388,91.07217797748388,79.16248926752651,106.92830359345928,,91.07217797748388,0.9961665868759156,79.16248926752651,,,,50.13266897201538,1209345.0,Direct point forecasting standard deep model. Ranked by validation daylight RMSE.
1,1,target_24h,3y,direct_point,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,ensemble,03_deep_learning_ensemble_interpretability,target_24h,val_daylight_RMSE,291.5726974319709,291.5726974319709,,287.39140000962885,,291.5726974319709,0.9225102225569856,,,,,,,Direct point forecasting on 3y dataset. Kept LSTM/GRU plus top-3 validation-selected ensembles.
2,2,target_24h,3y,direct_point,Ensemble_XGBoost_compact_w0.1_LSTM_w0.9,ensemble,03_deep_learning_ensemble_interpretability,target_24h,val_daylight_RMSE,292.65593515424746,292.65593515424746,,290.36026921309326,,292.65593515424746,0.9209009408950806,,,,,,,Direct point forecasting on 3y dataset. Kept LSTM/GRU plus top-3 validation-selected ensembles.
3,3,target_24h,3y,direct_point,LSTM,deep_model,03_deep_learning_ensemble_interpretability,target_24h,val_daylight_RMSE,292.8399066683023,292.8399066683023,,292.1192366782784,,292.8399066683023,0.9199396967887878,,,,,12.992805242538452,,Direct point forecasting on 3y dataset. Kept LSTM/GRU plus top-3 validation-selected ensembles.
4,4,target_24h,3y,direct_point,MLP,tabular_ml,02_ml_baselines_boosting_ablation,target_24h,val_daylight_RMSE,293.7287548592078,293.7287548592078,203.0216755727212,285.5088954585438,214.09730936076508,293.7287548592078,0.92352206289587,,,,,8.268516540527344,,Direct point forecasting on 3y dataset. Ranked by validation daylight RMSE.
5,5,target_24h,3y,direct_point,Ensemble_CatBoost_compact_w0.5_GRU_w0.5,ensemble,03_deep_learning_ensemble_interpretability,target_24h,val_daylight_RMSE,295.36898679318665,295.36898679318665,,292.1779706828501,,295.36898679318665,0.9199075065756658,,,,,,,Direct point forecasting on 3y dataset. Kept LSTM/GRU plus top-3 validation-selected ensembles.
6,6,target_24h,3y,direct_point,CatBoost,boosting/tree,02_ml_baselines_boosting_ablation,target_24h,val_daylight_RMSE,297.9884061001934,297.9884061001934,205.9798670885409,289.5859136346814,217.27481924391049,297.9884061001934,0.9213222842983108,,,,,4.136908531188965,,Direct point forecasting on 3y dataset. Ranked by validation daylight RMSE.
7,7,target_24h,3y,direct_point,Ridge,tabular_ml,02_ml_baselines_boosting_ablation,target_24h,val_daylight_RMSE,300.1625064317193,300.1625064317193,217.406010035915,303.5417902975725,220.48443386689013,300.1625064317193,0.913556198050561,,,,,0.0103828907012939,,Direct point forecasting on 3y dataset. Ranked by validation daylight RMSE.
8,8,target_24h,3y,direct_point,GRU,deep_model,03_deep_learning_ensemble_interpretability,target_24h,val_daylight_RMSE,300.8898261822756,300.8898261822756,,307.6217111770559,,300.8898261822756,0.9112167954444884,,,,,12.162291288375854,,Direct point forecasting on 3y dataset. Kept LSTM/GRU plus top-3 validation-selected ensembles.
