reference_rank,task,dataset_years,comparison_scope,model,model_family,source_notebook,reference_sort_metric,reference_sort_RMSE,horizon_specific_metric,horizon_specific_RMSE,test_RMSE,test_daylight_RMSE,test_h1_RMSE,test_h12_RMSE,test_h24_RMSE,test_daily_total_RMSE,test_R2,note
12,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.3_TSMixer-lite_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,227.0489777146112,test_h1_RMSE,85.28964322933646,179.8452948456673,249.66171644096735,85.28964322933646,174.36804421610628,186.7361315131595,2343.6963327188955,0.9759122729301452,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
13,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.7_LSTM_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,227.1892709697137,test_h1_RMSE,87.55650798109613,181.9226419559973,252.6343006081122,87.55650798109613,176.40898193190165,184.62650219429491,2380.0115545938006,0.9753525853157043,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
14,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.5_TSMixer-lite_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,227.27800810626175,test_h1_RMSE,82.60801699990292,180.11329442360716,250.15460844245905,82.60801699990292,175.466949567789,185.63301750362191,2346.918831148619,0.975840389728546,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
15,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.7_GRU_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,227.28280325675763,test_h1_RMSE,79.04708038864402,180.9777643023446,251.3648835607313,79.04708038864402,174.3459877298586,185.48212093757175,2353.5331950070304,0.975607931613922,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
16,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.5_LSTM_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,227.48195326772628,test_h1_RMSE,90.3127568119186,182.1031429918221,252.7813871460872,90.3127568119186,176.60236275670266,185.45045455255695,2380.230451027799,0.9753036499023438,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
17,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.7_GRU_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,227.6821900972933,test_h1_RMSE,77.82236696979378,180.78632501519576,251.13652599233748,77.82236696979378,174.47845833189552,185.7118063021304,2353.66554548432,0.9756594896316528,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
18,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.3_TSMixer-lite_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,227.764089506555,test_h1_RMSE,88.88509469305723,180.73645458408492,250.87211165502237,88.88509469305723,175.4312376420602,186.7820525539057,2353.9442431799444,0.975672960281372,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
19,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.3_TSMixer-lite_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,227.7844975931198,test_h1_RMSE,87.2115726176148,180.3798184560845,250.40267570455396,87.2115726176148,175.44445791332367,186.7295315924881,2348.391683684815,0.9757688641548156,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
20,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.3_LSTM_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,227.92199871885995,test_h1_RMSE,90.18957627114538,182.22002282611533,252.74520890612348,90.18957627114538,176.66185810574677,186.86626233753375,2380.4912308177068,0.9752719402313232,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
21,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.7_iTransformer-mini_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.0565136923302,test_h1_RMSE,79.14049389179664,181.5909401133493,252.23352275223053,79.14049389179664,175.6840703596231,185.9043983140259,2367.654218841932,0.975442349910736,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
22,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.3_LSTM_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.09155576763467,test_h1_RMSE,89.78180473201405,182.1736808652666,252.72326917252792,89.78180473201405,177.02210093304734,186.89428203198196,2380.946240468272,0.9752845168113708,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
23,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.5_GRU_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.1751999560864,test_h1_RMSE,83.71849629020907,181.53010683492695,252.00048828077692,83.71849629020907,174.5355947310605,185.52561522940707,2363.7363431652016,0.975458800792694,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
24,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.7_iTransformer-mini_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.43513165666965,test_h1_RMSE,78.07739487101084,181.40671027073392,252.0112147182145,78.07739487101084,175.76099605536777,185.99745882000647,2367.1268449324807,0.9754921793937684,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
