reference_rank,task,dataset_years,comparison_scope,model,model_family,source_notebook,reference_sort_metric,reference_sort_RMSE,horizon_specific_metric,horizon_specific_RMSE,test_RMSE,test_daylight_RMSE,test_h1_RMSE,test_h12_RMSE,test_h24_RMSE,test_daily_total_RMSE,test_R2,note
1,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.5_TSMixer-lite_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,225.29830052343937,test_h24_RMSE,185.09850629124483,179.13629587551486,248.7674459962557,80.2708397541956,173.07058034585197,185.09850629124483,2331.624540958513,0.976101815700531,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
2,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.7_TSMixer-lite_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,225.447298442452,test_h24_RMSE,184.91799280356685,179.47993990450576,249.32306006715464,77.05429738887864,173.36358222136792,184.91799280356685,2331.978023052533,0.9760100245475768,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
3,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.5_TSMixer-lite_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,225.6598484168152,test_h24_RMSE,185.37293491769503,178.9699586348223,248.5647237139655,79.58389711296815,173.2812020964767,185.37293491769503,2330.437190743402,0.976146161556244,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
4,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.7_TSMixer-lite_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,225.80370346830009,test_h24_RMSE,185.2026866874506,179.19333679890278,248.9530107520293,76.0137605757997,173.37858233501623,185.2026866874506,2330.6002445722,0.9760865569114684,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
5,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.7_LSTM_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,226.24578725359729,test_h24_RMSE,185.51359240969376,180.5477235213726,250.75693223219173,78.8623083093248,174.67113630870728,185.51359240969376,2350.6293838034103,0.9757237434387208,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
6,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.5_LSTM_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,226.37800246490383,test_h24_RMSE,185.71515066762865,180.85188496909564,251.03997751852197,83.44293931240527,175.07334958346743,185.71515066762865,2360.0747869506167,0.9756418466567992,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
7,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.7_TSMixer-lite_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,226.46924805037,test_h24_RMSE,184.2201150288697,180.7567750286279,251.04403093630808,84.4659723692402,175.32971172194402,184.2201150288697,2359.34885084847,0.9756674766540528,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
8,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.7_LSTM_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,226.4922218587208,test_h24_RMSE,185.6189392949976,180.29394943570625,250.45072650373768,77.78255887307739,174.80717613451972,185.6189392949976,2350.550680159864,0.9757919311523438,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
9,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.5_TSMixer-lite_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,226.4970508913968,test_h24_RMSE,185.06175067393045,180.27511527523703,250.32516353734795,85.67339531069432,174.87120260351617,185.06175067393045,2349.3056420993844,0.9757969975471495,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
10,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.5_LSTM_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,226.60829709545055,test_h24_RMSE,185.77628515233047,180.72291896021375,250.91240534547111,82.71131495202908,175.42497506056543,185.77628515233047,2360.4388363183657,0.9756765961647034,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
11,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.3_TSMixer-lite_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,226.76971558444484,test_h24_RMSE,186.5302840693704,179.92179833367885,249.74575352996496,85.66117791825974,174.1233342974887,186.5302840693704,2344.517327724408,0.9758917689323424,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
12,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.3_TSMixer-lite_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,227.0489777146112,test_h24_RMSE,186.7361315131595,179.8452948456673,249.66171644096735,85.28964322933646,174.36804421610628,186.7361315131595,2343.6963327188955,0.9759122729301452,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
13,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.7_LSTM_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,227.1892709697137,test_h24_RMSE,184.62650219429491,181.9226419559973,252.6343006081122,87.55650798109613,176.40898193190165,184.62650219429491,2380.0115545938006,0.9753525853157043,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
14,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.5_TSMixer-lite_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,227.27800810626175,test_h24_RMSE,185.63301750362191,180.11329442360716,250.15460844245905,82.60801699990292,175.466949567789,185.63301750362191,2346.918831148619,0.975840389728546,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
15,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.7_GRU_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,227.28280325675763,test_h24_RMSE,185.48212093757175,180.9777643023446,251.3648835607313,79.04708038864402,174.3459877298586,185.48212093757175,2353.5331950070304,0.975607931613922,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
16,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.5_LSTM_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,227.48195326772628,test_h24_RMSE,185.45045455255695,182.1031429918221,252.7813871460872,90.3127568119186,176.60236275670266,185.45045455255695,2380.230451027799,0.9753036499023438,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
17,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.7_GRU_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,227.6821900972933,test_h24_RMSE,185.7118063021304,180.78632501519576,251.13652599233748,77.82236696979378,174.47845833189552,185.7118063021304,2353.66554548432,0.9756594896316528,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
18,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.3_TSMixer-lite_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,227.764089506555,test_h24_RMSE,186.7820525539057,180.73645458408492,250.87211165502237,88.88509469305723,175.4312376420602,186.7820525539057,2353.9442431799444,0.975672960281372,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
19,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.3_TSMixer-lite_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,227.7844975931198,test_h24_RMSE,186.7295315924881,180.3798184560845,250.40267570455396,87.2115726176148,175.44445791332367,186.7295315924881,2348.391683684815,0.9757688641548156,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
20,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.3_LSTM_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,227.92199871885995,test_h24_RMSE,186.86626233753375,182.22002282611533,252.74520890612348,90.18957627114538,176.66185810574677,186.86626233753375,2380.4912308177068,0.9752719402313232,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
21,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.7_iTransformer-mini_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.0565136923302,test_h24_RMSE,185.9043983140259,181.5909401133493,252.23352275223053,79.14049389179664,175.6840703596231,185.9043983140259,2367.654218841932,0.975442349910736,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
22,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.3_LSTM_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.09155576763467,test_h24_RMSE,186.89428203198196,182.1736808652666,252.72326917252792,89.78180473201405,177.02210093304734,186.89428203198196,2380.946240468272,0.9752845168113708,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
23,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.5_GRU_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.1751999560864,test_h24_RMSE,185.52561522940707,181.53010683492695,252.00048828077692,83.71849629020907,174.5355947310605,185.52561522940707,2363.7363431652016,0.975458800792694,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
24,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.7_iTransformer-mini_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.43513165666965,test_h24_RMSE,185.99745882000647,181.40671027073392,252.0112147182145,78.07739487101084,175.76099605536777,185.99745882000647,2367.1268449324807,0.9754921793937684,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
25,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.5_GRU_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.5864596410951,test_h24_RMSE,185.73535229931323,181.4755170298462,251.9649808257092,82.82451269004696,174.88368902644982,185.73535229931323,2364.229367045423,0.9754735827445984,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
26,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.7_TSMixer-lite_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.60204402246717,test_h24_RMSE,185.9461552607367,181.13747584707588,251.66087362261936,79.86162348869449,176.9632068044089,185.9461552607367,2365.5832261833443,0.9755648970603944,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
27,target_24h,20y,reference_only_from_24h_multihorizon,HistGradientBoosting,boosting/tree,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.6926755358597,test_h24_RMSE,186.9943807645032,182.0920740655672,253.0027328162682,76.85389064850588,176.30312253509578,186.9943807645032,2357.199609706399,0.9753066301345824,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
28,target_24h,20y,reference_only_from_24h_multihorizon,CatBoost,boosting/tree,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.7461065242423,test_h24_RMSE,184.62440758198792,183.22073009760655,254.46680622185283,86.54964931688053,177.89272684858423,184.62440758198792,2402.022793397265,0.9749996066093444,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
29,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.5_LSTM_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.76830527850663,test_h24_RMSE,186.61121641999443,182.0987777107524,252.82167010563,86.36804082855244,178.05520013994257,186.61121641999443,2379.462544357444,0.9753048419952391,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
30,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.3_LSTM_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.836911426566,test_h24_RMSE,186.9270412487182,183.1262158662708,254.02352099510392,94.58546998779728,177.74392900145705,186.9270412487182,2392.011914686045,0.9750253558158876,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
31,target_24h,20y,reference_only_from_24h_multihorizon,XGBoost,boosting/tree,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.8778843346381,test_h24_RMSE,187.18373326761065,181.56992239561595,252.2976060751469,75.2797127800711,175.7308677797529,187.18373326761065,2355.93410349271,0.9754480719566344,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
32,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.7_GRU_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,229.00828144141423,test_h24_RMSE,184.8533730588923,182.8304478369235,253.89021680147505,88.1354603720886,176.77814264990454,184.8533730588923,2388.072339775326,0.9751060009002686,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
33,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.3_LSTM_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,229.28358191876717,test_h24_RMSE,187.36905844482436,182.9057134154097,253.73498262212485,92.19355382665049,178.47732151978022,187.36905844482436,2387.9020080396936,0.9750854969024658,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
34,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.7_LSTM_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,229.7407676327821,test_h24_RMSE,186.8432351765779,182.4294812386419,253.4225411738269,82.20248793946263,178.756692400942,186.8432351765779,2387.5428791960994,0.9752150774002076,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
35,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.5_iTransformer-mini_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,230.0984503967813,test_h24_RMSE,186.3421542150353,182.9719710433814,254.04230393282927,83.84036344726059,177.13524913007856,186.3421542150353,2393.245912980946,0.9750674366950988,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
36,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.5_GRU_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,230.2020511963349,test_h24_RMSE,185.56797314259268,183.34963824275735,254.51042924357736,91.04624619012309,176.8878970562995,185.56797314259268,2389.9116092441577,0.9749643802642822,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
37,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.7_iTransformer-mini_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,230.470476688447,test_h24_RMSE,185.26415895620505,183.9340489822371,255.45123984334077,88.3331650450441,178.75285181291514,185.26415895620505,2410.494866204863,0.9748045206069946,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
38,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.5_iTransformer-mini_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,230.4834677504007,test_h24_RMSE,186.38911541114732,182.92541384742037,254.01330243217575,83.12670933392889,177.414003155402,186.38911541114732,2392.911824535121,0.975080132484436,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
39,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.3_GRU_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,230.51768336453063,test_h24_RMSE,186.41140238059472,183.11081429697157,254.00938097834103,90.5265359490658,175.91979817696756,186.41140238059472,2383.9616188185582,0.9750295877456664,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
40,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.3_GRU_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,230.83743603453925,test_h24_RMSE,186.5639551869546,183.12653582973715,254.06392988527517,89.99292778202768,176.2778845406451,186.5639551869546,2384.468494235141,0.9750252962112428,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
41,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.5_GRU_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,230.85122711932897,test_h24_RMSE,186.47754556514303,182.94418334221507,254.00604385033836,86.53570207940189,177.5846794049954,186.47754556514303,2384.6878202397897,0.9750750064849854,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
42,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.7_GRU_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,231.0175267295752,test_h24_RMSE,186.85807824723557,182.99932761146965,254.2176263804302,82.29267272591771,178.48764072233405,186.85807824723557,2391.7394297874507,0.975059986114502,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
43,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.7_iTransformer-mini_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,232.02289757694172,test_h24_RMSE,187.17156651719296,183.8044243380719,255.34864340250567,82.71635633578616,180.04027869653223,187.17156651719296,2408.4317511609083,0.9748400449752808,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
44,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.3_GRU_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,232.11826861537637,test_h24_RMSE,186.96147664692853,183.93672485395624,255.18705608582505,92.4456818978718,177.79163432055796,186.96147664692853,2392.6930434136343,0.9748038053512572,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
45,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.3_GRU_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,232.1978547489188,test_h24_RMSE,186.72914458514504,184.4917956339793,255.9287086402188,95.2922826918581,177.68820897677764,186.72914458514504,2400.4767234864,0.9746515154838562,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
46,target_24h,20y,reference_only_from_24h_multihorizon,LSTM,deep_model,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,232.8165939237365,test_h24_RMSE,190.33174163811984,186.2111641557777,257.9015376553618,103.41066022629148,181.1943556826481,190.33174163811984,2431.068180862067,0.974176824092865,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
47,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.5_iTransformer-mini_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,232.92657440167707,test_h24_RMSE,186.36956103733783,185.36401054749004,257.36071779216815,91.28743880937289,180.23117208359105,186.36956103733783,2428.8549771445805,0.9744112491607666,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
48,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.5_iTransformer-mini_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,233.0417746885738,test_h24_RMSE,187.1641366888967,184.61045347230475,256.3545061287201,87.03151929940383,180.43183334538008,187.1641366888967,2417.2520555374444,0.974618911743164,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
49,target_24h,20y,reference_only_from_24h_multihorizon,RandomForest,boosting/tree,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,233.940622474486,test_h24_RMSE,189.0350186638709,185.0395439156182,257.1323680276367,79.61002974460881,181.88156130776423,189.0350186638709,2430.1861039846312,0.9745007753372192,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
50,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.3_iTransformer-mini_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,234.0603220859956,test_h24_RMSE,187.70586615100763,185.6942947259016,257.6686037820673,90.6518279255857,180.04091874314295,187.70586615100763,2433.252761223133,0.9743199944496156,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
51,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.3_iTransformer-mini_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,234.35638259390333,test_h24_RMSE,187.7222953094544,185.71604459160227,257.7274784050005,90.25737937282469,180.3377636114383,187.7222953094544,2433.0652477892986,0.9743139743804932,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
52,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.3_iTransformer-mini_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,235.8769955532968,test_h24_RMSE,188.14702944107304,186.70432214132052,259.0977132280407,92.86570970526472,182.1129242736495,188.14702944107304,2444.557424156774,0.9740398526191713,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
53,target_24h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.3_iTransformer-mini_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,236.3921364756028,test_h24_RMSE,188.0094641068635,187.54303672757356,260.24882924808713,95.51416677481672,182.4172115303268,188.0094641068635,2457.4714647376886,0.9738061428070068,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
54,target_24h,20y,reference_only_from_24h_multihorizon,GRU,deep_model,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,236.64889439579048,test_h24_RMSE,189.2904411050648,187.34870979673173,259.5219162228886,103.79334090965324,180.1692888820123,189.2904411050648,2432.5315003099136,0.9738603830337524,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
55,target_24h,20y,reference_only_from_24h_multihorizon,Ridge,tabular_ml,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,242.8026542405375,test_h24_RMSE,187.2372429733198,191.8178151756244,264.60825998067406,81.49358319255879,185.37865598215453,187.2372429733198,2436.040742680631,0.972598433494568,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
56,target_24h,20y,reference_only_from_24h_multihorizon,Linear Regression,other,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,243.0724316561835,test_h24_RMSE,187.32436565687337,191.94210959948316,264.61028242020376,81.65193253032962,185.46481935599,187.32436565687337,2438.365846217503,0.9725629091262816,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
57,target_24h,20y,reference_only_from_24h_multihorizon,MLP,tabular_ml,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,246.5631416341461,test_h24_RMSE,197.99814550899208,195.16013056590225,270.45821939349526,112.55387598834614,184.21030780062227,197.99814550899208,2465.8342401710624,0.9716351628303528,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
58,target_24h,20y,reference_only_from_24h_multihorizon,SVR_RBF,tabular_ml,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,315.7394594440169,test_h24_RMSE,215.26064324732008,243.65729006126617,335.3394269244224,149.77567862056242,236.6244139585981,215.26064324732008,2852.1682103270136,0.9557862877845764,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
