epoch,train_loss,val_loss,lr,task,model
7,0.0187361988316017,0.04719533170025576,0.00035,point_3y_target_24h,TSMixer-standard
8,0.0162097122975366,0.05356158846167519,0.00035,point_3y_target_24h,TSMixer-standard
1,0.07931717059441976,0.09755997135139563,0.0007,point_3y_target_24h,PatchTST-standard
2,0.03530507127901441,0.04787374950726243,0.0007,point_3y_target_24h,PatchTST-standard
3,0.03464808210002301,0.04017275248599403,0.0007,point_3y_target_24h,PatchTST-standard
4,0.030395094116211385,0.03615610594587291,0.0007,point_3y_target_24h,PatchTST-standard
5,0.031051024157357842,0.04561693632208249,0.0007,point_3y_target_24h,PatchTST-standard
6,0.029549257010501578,0.03818671709364828,0.0007,point_3y_target_24h,PatchTST-standard
7,0.028587956289599713,0.03939669577213114,0.00035,point_3y_target_24h,PatchTST-standard
8,0.025398541900112218,0.03681737366680275,0.00035,point_3y_target_24h,PatchTST-standard
9,0.02548732623962083,0.03699880976722959,0.00035,point_3y_target_24h,PatchTST-standard
1,0.07444656148720953,0.04299111760166638,0.0007,point_3y_target_24h,iTransformer-standard
2,0.03230397144150465,0.044090063954867864,0.0007,point_3y_target_24h,iTransformer-standard
3,0.030359019700409773,0.044845373712151367,0.0007,point_3y_target_24h,iTransformer-standard
4,0.0271057544304128,0.03940293666742304,0.0007,point_3y_target_24h,iTransformer-standard
5,0.02528994745413836,0.0523607390384902,0.0007,point_3y_target_24h,iTransformer-standard
6,0.022345683593443015,0.04671083374277634,0.0007,point_3y_target_24h,iTransformer-standard
7,0.020599874240675366,0.04275557522059364,0.00035,point_3y_target_24h,iTransformer-standard
8,0.015248376242396302,0.049792737056336855,0.00035,point_3y_target_24h,iTransformer-standard
9,0.013875780066937432,0.042453092961188627,0.00035,point_3y_target_24h,iTransformer-standard
1,0.07815251480896919,0.008179065032416711,0.0007,point_20y_target_1h,TSMixer-standard
2,0.01792788679292153,0.012776821406315203,0.0007,point_20y_target_1h,TSMixer-standard
3,0.013807795446213574,0.020358641024516975,0.0007,point_20y_target_1h,TSMixer-standard
4,0.013637622940893235,0.008103961459077571,0.0007,point_20y_target_1h,TSMixer-standard
5,0.013039451321227509,0.005467094384822185,0.0007,point_20y_target_1h,TSMixer-standard
6,0.01191511022863768,0.004246243604701822,0.0007,point_20y_target_1h,TSMixer-standard
7,0.012210187210826671,0.0070947104275388565,0.0007,point_20y_target_1h,TSMixer-standard
8,0.011707679578239283,0.004156095335138557,0.0007,point_20y_target_1h,TSMixer-standard
9,0.011691422493071759,0.0038726727134021726,0.0007,point_20y_target_1h,TSMixer-standard
10,0.012025936501242264,0.004585927180217012,0.0007,point_20y_target_1h,TSMixer-standard
11,0.011741417073454077,0.0063446668715661635,0.0007,point_20y_target_1h,TSMixer-standard
12,0.011878277959400102,0.0036106399493291974,0.0007,point_20y_target_1h,TSMixer-standard
13,0.012070511865336992,0.0038200830281509652,0.0007,point_20y_target_1h,TSMixer-standard
14,0.011953244435094428,0.006696338006092802,0.0007,point_20y_target_1h,TSMixer-standard
15,0.012302526406268452,0.0061333907423945875,0.00035,point_20y_target_1h,TSMixer-standard
16,0.010602466250110788,0.0031665300636592765,0.00035,point_20y_target_1h,TSMixer-standard
17,0.0102219646333646,0.0035133490733721333,0.00035,point_20y_target_1h,TSMixer-standard
18,0.009941888128935594,0.004998342407381405,0.00035,point_20y_target_1h,TSMixer-standard
19,0.00976628769183673,0.003956548707640689,0.000175,point_20y_target_1h,TSMixer-standard
20,0.009327043719284715,0.0030568688778895075,0.000175,point_20y_target_1h,TSMixer-standard
21,0.009276485515823751,0.003663778487268997,0.000175,point_20y_target_1h,TSMixer-standard
22,0.009152699784751524,0.002922580390156287,0.000175,point_20y_target_1h,TSMixer-standard
23,0.008831718939285704,0.002737382753327003,0.000175,point_20y_target_1h,TSMixer-standard
24,0.00884914446665704,0.003534757896609928,0.000175,point_20y_target_1h,TSMixer-standard
25,0.00889514832980713,0.002902805202883547,0.000175,point_20y_target_1h,TSMixer-standard
1,0.05972927009240229,0.030444667715093365,0.0007,point_20y_target_1h,PatchTST-standard
2,0.016701999695002162,0.006784649849261927,0.0007,point_20y_target_1h,PatchTST-standard
3,0.013274451407293478,0.011217586473440346,0.0007,point_20y_target_1h,PatchTST-standard
4,0.011179642201733519,0.004385102130270198,0.0007,point_20y_target_1h,PatchTST-standard
5,0.011008696510777837,0.006169240597797477,0.0007,point_20y_target_1h,PatchTST-standard
