task,model,seq_len,n_features,out_dim,n_train,n_val,n_test,n_params,train_seconds,val_RMSE,val_MAE,val_R2,val_MaxError,val_NRMSE,val_daylight_RMSE,val_daylight_MAE,val_daylight_R2,val_h1_RMSE,test_RMSE,test_MAE,test_R2,test_MaxError,test_NRMSE,test_daylight_RMSE,test_daylight_MAE,test_daylight_R2,test_h1_RMSE,val_h12_RMSE,val_h24_RMSE,val_daily_total_RMSE,val_daily_total_MAE,val_daily_total_R2,test_h12_RMSE,test_h24_RMSE,test_daily_total_RMSE,test_daily_total_MAE,test_daily_total_R2
point_3y_target_1h,TSMixer-standard,168,16,1,17040,4344,4392,1258481,30.60505747795105,105.97772097827921,52.66255187988281,0.9926373362541199,1270.870849609375,0.027072150260210037,145.00640476156562,94.63839721679688,0.984648585319519,105.97772097827921,94.93718112191345,42.577415466308594,0.9923433661460876,1157.4417724609375,0.025126425549387932,133.18345254291165,81.5838851928711,0.9834709167480469,94.93718112191345,,,,,,,,,,
point_3y_target_1h,PatchTST-standard,168,16,1,17040,4344,4392,1072513,26.438032388687134,82.15108211684586,37.62807846069336,0.9955758452415466,1120.44580078125,0.02098560519516468,112.80557025115161,70.42913818359375,0.9907096028327942,82.15108211684586,80.06977243024517,36.03805923461914,0.9945536851882935,881.5186767578125,0.021191561594605446,112.48744287558279,70.317138671875,0.9882088303565979,80.06977243024517,,,,,,,,,,
point_3y_target_1h,iTransformer-standard,168,16,1,17040,4344,4392,1143553,27.165635347366333,81.15308522901331,36.22364807128906,0.9956826567649841,1135.289306640625,0.02073066309094429,111.44131197910853,67.49687957763672,0.9909329414367676,81.15308522901331,83.00419734774712,37.17148971557617,0.9941471815109253,959.57763671875,0.02196819707751274,116.60444955596678,72.20294189453125,0.9873299598693848,83.00419734774712,,,,,,,,,,
point_3y_target_24h,TSMixer-standard,168,16,1,17017,4344,4392,1258481,24.243173122406006,231.43248711827385,108.86549377441406,0.9648880958557129,2078.61767578125,0.05911973491311073,317.4073929904595,197.26332092285156,0.9264456033706665,231.43248711827385,239.7730453600863,107.31670379638672,0.9511609077453613,2273.885986328125,0.06345921754837036,336.79015629171823,206.63951110839844,0.8943020105361938,239.7730453600863,,,,,,,,,,
point_3y_target_24h,PatchTST-standard,168,16,1,17017,4344,4392,1072513,10.437991380691528,223.4301921881866,109.9618911743164,0.9672742486000061,1941.333740234375,0.05707554146647453,306.7521648252869,203.67672729492188,0.9313011169433594,223.4301921881866,238.5531829461724,117.7376937866211,0.9516565799713135,2198.761962890625,0.06313636898994446,334.95603722727554,227.16526794433594,0.8954501152038574,238.5531829461724,,,,,,,,,,
point_3y_target_24h,iTransformer-standard,168,16,1,17017,4344,4392,1143553,10.545110940933228,234.14070789538073,122.55712127685547,0.9640614986419678,1979.0355224609375,0.0598115548491478,320.5194148760727,212.06846618652344,0.9249961972236633,234.14070789538073,238.38557757077083,120.4399642944336,0.9517245292663574,2040.429931640625,0.06309200823307037,334.5967722498231,226.24786376953125,0.8956742882728577,238.38557757077083,,,,,,,,,,
point_20y_target_1h,TSMixer-standard,168,18,1,21888,2924,4380,1350705,123.01754641532898,66.26862208796483,30.439680099487305,0.9973630905151367,752.40869140625,0.01690850406885147,89.32974706634683,52.511741638183594,0.996082603931427,66.26862208796483,79.25497815594929,33.47272491455078,0.9961575865745544,884.979736328125,0.02030741609632969,106.85478610010878,57.888702392578125,0.9943113923072815,79.25497815594929,,,,,,,,,,
point_20y_target_1h,PatchTST-standard,168,18,1,21888,2924,4380,1078657,44.672325134277344,65.59236911957633,28.74762725830078,0.997416615486145,655.2462158203125,0.01673595793545246,88.55055163753921,49.92640686035156,0.9961506128311157,65.59236911957633,79.60187495338128,31.95396614074707,0.9961239099502563,938.94970703125,0.02039630338549614,107.43977237271122,55.574745178222656,0.9942489862442017,79.60187495338128,,,,,,,,,,
point_20y_target_1h,iTransformer-standard,168,18,1,21888,2924,4380,1209345,50.13266897201538,67.3867141080588,29.4869327545166,0.9972733855247498,631.5084228515625,0.017193784937262535,91.07217797748388,53.389278411865234,0.9959282875061035,67.3867141080588,79.16248926752651,32.37790298461914,0.9961665868759155,835.42578125,0.020283719524741173,106.92830359345929,58.4748649597168,0.9943035840988159,79.16248926752651,,,,,,,,,,
point_20y_target_24h,TSMixer-standard,168,18,1,21885,2924,4380,1350705,73.1563994884491,173.7794714213966,80.39763641357422,0.9809403419494629,2127.1865234375,0.04533781111240387,236.9496254481108,141.0093231201172,0.9693116545677185,173.7794714213966,186.5034768442669,84.8718032836914,0.9776051044464111,2053.8271484375,0.048785250633955,254.42554012667438,149.30874633789062,0.9640356302261353,186.5034768442669,,,,,,,,,,
