task,model,seq_len,n_features,out_dim,n_train,n_val,n_test,n_params,train_seconds,val_RMSE,val_MAE,val_R2,val_MaxError,val_NRMSE,val_daylight_RMSE,val_daylight_MAE,val_daylight_R2,val_h1_RMSE,test_RMSE,test_MAE,test_R2,test_MaxError,test_NRMSE,test_daylight_RMSE,test_daylight_MAE,test_daylight_R2,test_h1_RMSE,val_h12_RMSE,val_h24_RMSE,val_daily_total_RMSE,val_daily_total_MAE,val_daily_total_R2,test_h12_RMSE,test_h24_RMSE,test_daily_total_RMSE,test_daily_total_MAE,test_daily_total_R2
daily_total_20y_next_day,iTransformer-standard,60,13,1,5419,731,1095,1031041,2.5600204467773438,2499.941699320206,1815.5831298828125,0.8192247748374939,13913.3583984375,0.09321121871471405,2499.941699320206,1815.5831298828125,0.8192247748374939,2499.941699320206,2863.0539638644605,2020.0018310546875,0.7815741300582886,17025.130859375,0.09736081957817078,2863.0539638644605,2020.0018310546875,0.7815741300582886,2863.0539638644605,,,,,,,,,,
multihorizon_20y_24h,TSMixer-standard,168,18,24,21885,2924,4380,1356616,64.88282322883606,167.90468254898371,82.8518295288086,0.9793415665626526,2122.60107421875,0.04284104332327843,232.45448143131162,147.81387329101562,0.955901026725769,85.0338512556911,184.46973201923942,87.89225006103516,0.9746503233909607,2572.52197265625,0.04726647958159447,255.44665997767518,157.00741577148438,0.9465328454971313,95.62226813908202,174.28521994312942,171.96515817164826,2159.731001768507,1476.813232421875,0.8638035655021667,185.25444917059346,184.86637910934482,2442.4664787873753,1613.51318359375,0.8390398025512695
point_20y_target_1h,PatchTST-standard,168,18,1,21888,2924,4380,1078657,44.672325134277344,65.59236911957633,28.74762725830078,0.997416615486145,655.2462158203125,0.01673595793545246,88.55055163753921,49.92640686035156,0.9961506128311157,65.59236911957633,79.60187495338128,31.95396614074707,0.9961239099502563,938.94970703125,0.02039630338549614,107.43977237271122,55.574745178222656,0.9942489862442017,79.60187495338128,,,,,,,,,,
point_20y_target_24h,PatchTST-standard,168,18,1,21885,2924,4380,1078657,16.495755910873413,174.07306969703842,87.11550903320312,0.9808758497238159,2130.086181640625,0.045414410531520844,236.601177485447,142.22259521484375,0.9694018959999084,174.07306969703842,189.59186221657828,92.6630859375,0.9768573045730591,2029.997314453125,0.04959310591220856,257.92783026459165,152.52731323242188,0.9630386829376221,189.59186221657828,,,,,,,,,,
point_3y_target_1h,iTransformer-standard,168,16,1,17040,4344,4392,1143553,27.165635347366333,81.15308522901331,36.22364807128906,0.9956826567649841,1135.289306640625,0.02073066309094429,111.44131197910853,67.49687957763672,0.9909329414367676,81.15308522901331,83.00419734774712,37.17148971557617,0.9941471815109253,959.57763671875,0.02196819707751274,116.60444955596678,72.20294189453125,0.9873299598693848,83.00419734774712,,,,,,,,,,
point_3y_target_24h,PatchTST-standard,168,16,1,17017,4344,4392,1072513,10.437991380691528,223.4301921881866,109.9618911743164,0.9672742486000061,1941.333740234375,0.05707554146647453,306.7521648252869,203.67672729492188,0.9313011169433594,223.4301921881866,238.5531829461724,117.7376937866211,0.9516565799713135,2198.761962890625,0.06313636898994446,334.95603722727554,227.16526794433594,0.8954501152038574,238.5531829461724,,,,,,,,,,
