target,model,model_type,n_features,train_seconds,val_MAE,val_RMSE,val_R2,val_MaxError,val_NRMSE,val_skill_vs_persistence,val_persistence_RMSE,val_skill_vs_seasonal7,val_seasonal7_RMSE,test_MAE,test_RMSE,test_R2,test_MaxError,test_NRMSE,test_skill_vs_persistence,test_persistence_RMSE,test_skill_vs_seasonal7,test_seasonal7_RMSE,params
target_next_day_total_kJ_m2,Ridge,daily_ml,90,0.012261152267456055,2046.5924072265625,2816.7756389176616,0.8197476863861084,11431.19921875,0.10044928640127182,0.17990360700690167,3434.6884866025334,0.36512899182892944,4436.768418567731,2033.855712890625,2978.15748408307,0.700323224067688,15944.80859375,0.1193382665514946,0.0714746855095858,3207.405805319932,0.31258981479796333,4332.431418960951,
target_next_day_total_kJ_m2,RandomForest,daily_ml,90,0.9648833274841309,2067.1285616746154,2830.9140160508055,0.8179336076033081,11362.161863371144,0.10095347464084625,0.17578725782755322,3434.6884866025334,0.36194235331203606,4436.768418567731,1934.389526383712,2815.794336497317,0.7321081120933435,14751.179103990733,0.11283218860626221,0.12209601546928439,3207.405805319932,0.3500660335501329,4332.431418960951,
target_next_day_total_kJ_m2,HGBR_tuned_1,daily_hgbr_tuning,90,1.6871592998504639,2038.0115683383453,2888.439212949369,0.8104591193629992,11666.164941973111,0.10300488024950027,0.15903895674495183,3434.6884866025334,0.3489767911118946,4436.768418567731,2158.9851831500455,3164.437021600591,0.6616621273676248,16064.814270947452,0.1268026977777481,0.013396740645686744,3207.405805319932,0.26959328017256434,4332.431418960951,"{""learning_rate"": 0.03, ""max_iter"": 700, ""max_leaf_nodes"": 31, ""l2_regularization"": 0.1}"
target_next_day_total_kJ_m2,HistGradientBoosting,daily_ml,90,3.813734292984009,2066.3418700060342,2922.741024842281,0.8059305832422662,11374.687802989414,0.10422812402248383,0.14905207961571265,3434.6884866025334,0.34124553073117236,4436.768418567731,2104.1432686167736,3120.3180857331386,0.6710306495431017,15889.898129694531,0.12503480911254883,0.027152073941609234,3207.405805319932,0.2797766925802866,4332.431418960951,
target_next_day_total_kJ_m2,HGBR_tuned_2,daily_hgbr_tuning,90,1.6508984565734863,2065.6971761966147,2930.1709417097013,0.8049426391330429,11386.472952318203,0.10449308156967163,0.14688887998453748,3434.6884866025334,0.33957090718392424,4436.768418567731,2118.040238049036,3134.320257264364,0.6680715791467613,15904.480975141338,0.12559589743614197,0.02278649865082405,3207.405805319932,0.2765447495494183,4332.431418960951,"{""learning_rate"": 0.04, ""max_iter"": 700, ""max_leaf_nodes"": 31, ""l2_regularization"": 0.1}"
target_next_day_total_kJ_m2,HGBR_tuned_3,daily_hgbr_tuning,90,1.6688733100891113,2065.6971761966147,2930.1709417097013,0.8049426391330429,11386.472952318203,0.10449308156967163,0.14688887998453748,3434.6884866025334,0.33957090718392424,4436.768418567731,2118.040238049036,3134.320257264364,0.6680715791467613,15904.480975141338,0.12559589743614197,0.02278649865082405,3207.405805319932,0.2765447495494183,4332.431418960951,"{""learning_rate"": 0.04, ""max_iter"": 700, ""max_leaf_nodes"": 63, ""l2_regularization"": 0.1}"
target_next_day_total_kJ_m2,LinearRegression,daily_ml,90,0.02603745460510254,2138.931640625,2939.142391923195,0.8037464022636414,11674.865234375,0.10481300950050354,0.14427686720710853,3434.6884866025334,0.33754883855939377,4436.768418567731,2204.42919921875,3239.303320160062,0.6454635262489319,15963.55078125,0.1298026740550995,-0.009944957631249363,3207.405805319932,0.2523128453959589,4332.431418960951,
target_next_day_total_kJ_m2,CatBoost,daily_ml,90,2.0668225288391113,2145.8292441461313,2943.558889590935,0.8031561334200845,11468.24779368992,0.10497050732374191,0.1429910161947192,3434.6884866025334,0.33655340736914796,4436.768418567731,1942.395849889476,2872.0042770039363,0.721305841865197,15317.123432034805,0.11508458852767944,0.10457096752761541,3207.405805319932,0.33709180843935205,4332.431418960951,
target_next_day_total_kJ_m2,HGBR_tuned_4,daily_hgbr_tuning,90,1.5020275115966797,2099.078435765157,2947.179633721023,0.802671577380965,11851.26777305075,0.1050996333360672,0.14193684661159356,3434.6884866025334,0.33573733048874654,4436.768418567731,2142.775715903704,3139.2734956445215,0.6670216419486634,15773.92191293079,0.12579436600208282,0.021242185682398995,3207.405805319932,0.2754014565803756,4332.431418960951,"{""learning_rate"": 0.05, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""l2_regularization"": 1.0}"
target_next_day_total_kJ_m2,XGBoost,daily_ml,90,1.1787939071655273,2174.461669921875,2962.1769022122903,0.8006582260131836,12117.4765625,0.10563445091247559,0.13757043360215593,3434.6884866025334,0.3323571070746725,4436.768418567731,2109.91796875,3043.0974351801488,0.6871116161346436,14892.51953125,0.1219404861330986,0.05122780842612895,3207.405805319932,0.2976005524606836,4332.431418960951,
target_next_day_total_kJ_m2,Persistence,baseline,1,0.0,2271.1875,3434.6884866025334,0.7319899201393127,12784.572265625,0.1224847286939621,0.0,3434.6884866025334,0.22585806547205067,4436.768418567731,2185.7265625,3207.405805319932,0.6524114012718201,15229.439453125,0.128524512052536,0.0,3207.405805319932,0.2596753427457219,4332.431418960951,
target_next_day_total_kJ_m2,SeasonalPersistence7d,baseline,1,0.0,3101.716796875,4436.768418567731,0.5527915954589844,14332.751953125,0.15821999311447144,-0.2917527851139763,3434.6884866025334,0.0,4436.768418567731,3067.78271484375,4332.431418960951,0.36580753326416016,16311.599609375,0.17360562086105347,-0.35075873834704874,3207.405805319932,0.0,4332.431418960951,
target_next_day_total_kJ_m2,SVR_RBF,daily_ml,90,0.04226350784301758,4999.102330980881,6002.759054256637,0.18138772504650025,17118.575960741913,0.21406492590904236,-0.7476866032163352,3434.6884866025334,-0.3529574879624744,4436.768418567731,4418.944179811158,5406.123293260624,0.012517079393826402,15030.886045521791,0.21662971377372742,-0.685512723177657,3207.405805319932,-0.2478266290842237,4332.431418960951,
target_next_day_total_kJ_m2,MLPRegressor,daily_ml,90,0.6455447673797607,7540.84619140625,9068.103219527224,-0.8681395053863525,18880.984375,0.32337844371795654,-1.6401530313152373,3434.6884866025334,-1.0438531751122073,4436.768418567731,8503.021484375,10388.333456334563,-2.646275281906128,23784.806640625,0.41627269983291626,-2.2388584690792968,3207.405805319932,-1.397806786016246,4332.431418960951,
