feature_set,n_features,train_seconds,val_MAE,val_RMSE,val_R2,val_MaxError,val_NRMSE,val_skill_vs_persistence,val_persistence_RMSE,val_skill_vs_seasonal7,val_seasonal7_RMSE,test_MAE,test_RMSE,test_R2,test_MaxError,test_NRMSE,test_skill_vs_persistence,test_persistence_RMSE,test_skill_vs_seasonal7,test_seasonal7_RMSE
A5_full,90,1.218214750289917,2066.3418700060342,2922.741024842281,0.8059305832422662,11374.687802989414,0.10422812402248383,0.14905207961571265,3434.6884866025334,0.34124553073117236,4436.768418567731,2104.1432686167736,3120.3180857331386,0.6710306495431017,15889.898129694531,0.12503480911254883,0.027152073941609234,3207.405805319932,0.2797766925802866,4332.431418960951
A4_add_physical,88,1.2113006114959717,2066.4299541323744,2922.8893143400405,0.8059108899569869,11374.687802989414,0.10423341393470764,0.14900890554087654,3434.6884866025334,0.3412121078693573,4436.768418567731,2099.7514684324847,3119.7083767236863,0.671159197963551,15889.898129694531,0.1250103861093521,0.027342168069530604,3207.405805319932,0.279917423950386,4332.431418960951
A3_add_rolling,57,1.0493426322937012,2095.530231006012,2963.36465974503,0.8004982892515637,13088.48259221084,0.1056768074631691,0.13722462130000013,3434.6884866025334,0.33208939927009806,4436.768418567731,2092.5194839107758,2999.9878790270445,0.6959138075454097,15068.948424864211,0.12021303176879883,0.06466843888255602,3207.405805319932,0.3075509825966194,4332.431418960951
A2_add_lags,41,0.932762861251831,2095.003968912431,2988.571202260154,0.7970899096975814,12519.059731849433,0.10657570511102676,0.1298858065534968,3434.6884866025334,0.3264081150250977,4436.768418567731,2008.7326931483128,2980.4716721800155,0.6998573604411142,15238.495913218754,0.11943099647760391,0.07075317153929017,3207.405805319932,0.31205566021520004,4332.431418960951
A1_time_weather,32,1.2831151485443115,2206.687415280035,3124.807177298858,0.7781686733490438,12214.741238235492,0.11143402010202408,0.09022108133311346,3434.6884866025334,0.29570198791047064,4436.768418567731,2103.9328276667075,3144.2820261249763,0.6659582986984237,15467.852584013792,0.12599506974220276,0.01968063382882701,3207.405805319932,0.2742454012395953,4332.431418960951
A0_time_only,6,0.8500916957855225,2437.7057887101846,3397.1081243612593,0.7378226499726275,13545.099061085886,0.12114457041025162,0.010941417944556386,3434.6884866025334,0.23432827592612837,4436.768418567731,2336.6588878000066,3371.1038012362783,0.6160258822019549,16274.970407796158,0.13508407771587372,-0.05103750689882469,3207.405805319932,0.22189101794373667,4332.431418960951
